"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18672","spm","","260042","0","","M.U.O. 8-9-S9","holotype","","femur","","1","table","","no diameter stated","n. gen. Acrocanthosaurus n. sp. atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7059"
"18673","spm","","260042","0","","M.U.O. 8-9-S9","holotype","","tibia","","1","table","","width is least antero-posterior diameter (transverse diameter is greater)","n. gen. Acrocanthosaurus n. sp. atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7059"
"18674","spm","","260042","0","","M.U.O. 8-9-S9","holotype","","fibula","","1","table","","with is ""of shaft and [sic] midlength""","n. gen. Acrocanthosaurus n. sp. atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7059"
"18997","spm","","260040","0","","NCSM 14345","","","humerus","","1","table","","shaft width","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7057"
"18998","spm","","260040","0","","NCSM 14345","","","radius","","1","table","","shaft width","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7057"
"18999","spm","","260040","0","","NCSM 14345","","","ulna","","1","table","","shaft width","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7057"
"19000","spm","","260040","0","","NCSM 14345","","","femur","","1","table","","anteroposterior shaft width (transverse width is greater)","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7057"
"19001","spm","","260041","0","","M.U.O. 8-0-S8","","","tibia","","1","table","","","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","7057"
"19002","spm","","509484","0","","SMU 74646","","","femur","","1","table","","","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","122.46","112.03","7057"
"56437","spm","","260040","0","","NCSM 14345","","","skull","","1","table","","","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","9999"
"56438","spm","","260040","0","","NCSM 14345","","","scapula","","1","table","","","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","9999"
"56439","spm","","260040","0","","NCSM 14345","","","coracoid","","1","table","","","Acrocanthosaurus atokensis","species","55482","","Acrocanthosaurus atokensis","species","55482","125","113","9999"
