"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"69080","spm","","402860","0","","ZDM 6011","","","skull","","1","","","","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69081","spm","","402860","0","","ZDM 6011","","left","scapula","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69082","spm","","402860","0","","ZDM 6011","","right","scapula","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69083","spm","","402860","0","","ZDM 6011","","right","coracoid","","1","","","","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69084","spm","","402860","0","","ZDM 6011","","right","humerus","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69085","spm","","402860","0","","ZDM 6011","","right","radius","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69086","spm","","402860","0","","ZDM 6011","","right","ulna","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69087","spm","","402860","0","","ZDM 6011","","left","femur","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69088","spm","","402860","0","","ZDM 6011","","right","femur","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69089","spm","","402860","0","","ZDM 6011","","right","tibia","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
"69090","spm","","402860","0","","ZDM 6011","","right","fibula","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Agilisaurus n. sp. louderbacki","species","57223","","Agilisaurus louderbacki","species","57223","170.3","163.5","10370"
