"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"19019","spm","N","","0","","RTMP 81.10.1","","","femur","","1","","","","UNKNOWN","species","56319","obsolete variant of","Albertosaurus sarcophagus","species","56319","","","34553"
"19020","spm","N","","0","","AMNH 5432","","","femur","","1","","","estimated value","UNKNOWN","species","56319","obsolete variant of","Albertosaurus sarcophagus","species","56319","","","34553"
"19022","spm","","517552","23643","","USNM 12814/AMNH 5428","","","femur","","1","table","","estimated value","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","83.6","72.1","34553"
"80310","spm","","139257","0","","ROM 807","holotype","","scapula","","1","table","","","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","83.5","70.6","12347"
"80311","spm","","139257","0","","ROM 807","holotype","","coracoid","","1","table","","","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","83.5","70.6","12347"
"80312","spm","","139257","0","","ROM 807","holotype","","humerus","","1","table","","","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","83.5","70.6","12347"
"80313","spm","","139257","0","","ROM 807","holotype","","radius","","1","table","","","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","83.5","70.6","12347"
"80314","spm","","139257","0","","ROM 807","holotype","","ulna","","1","table","","","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","83.5","70.6","12347"
"80315","spm","","139257","0","","ROM 807","holotype","","femur","","1","table","","","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","83.5","70.6","12347"
"80316","spm","","139257","0","","ROM 807","holotype","","tibia","","1","table","","","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","83.5","70.6","12347"
"80317","spm","","139257","0","","ROM 807","holotype","","fibula","","1","table","","","Albertosaurus n. sp. arctunguis","species","63710","subjective synonym of","Albertosaurus sarcophagus","species","56319","83.5","70.6","12347"
