"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18570","spm","N","","0","","TMP","","","femur","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18571","spm","N","","0","","TMP","","","tibia","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18572","spm","N","","0","","TMP","","","fibula","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18573","spm","N","","0","","AMNH 680","","","femur","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18574","spm","N","","0","","AMNH 680","","","tibia","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18575","spm","N","","0","","AMNH 680","","","fibula","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18576","spm","N","","0","","AMNH 6125","","","femur","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18577","spm","N","","0","","AMNH 6125","","","tibia","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18578","spm","N","","0","","AMNH 6125","","","fibula","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18579","spm","N","","0","","AMNH 324","","","femur","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18580","spm","N","","0","","AMNH 324","","","tibia","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18581","spm","N","","0","","AMNH 324","","","fibula","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18582","spm","N","","0","","AMNH 290","","","femur","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18583","spm","N","","0","","FMNH UC1505","","","femur","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18584","spm","N","","0","","FMNH P25114","","","femur","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18585","spm","N","","0","","AMNH 408","","","tibia","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18586","spm","N","","0","","AMNH 287","","","fibula","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18587","spm","N","","0","","AMNH 5750","","","fibula","","1","table","","","UNKNOWN","species","80821","misspelling of, obsolete variant of","Allosaurus fragilis","species","52962","","","34423"
"18785","spm","","408087","0","","USNM 4734","","","humerus","","1","table","","width is least diameter of shaft","n. gen. Allosaurus n. sp. fragilis","species","52962","","Allosaurus fragilis","species","52962","157.3","145","13460"
"18786","spm","","408087","0","","USNM 4734","","","femur","","1","table","","","n. gen. Allosaurus n. sp. fragilis","species","52962","","Allosaurus fragilis","species","52962","157.3","145","13778"
"18787","spm","","408087","0","","USNM 4734","","","tibia","","1","table","","","n. gen. Allosaurus n. sp. fragilis","species","52962","","Allosaurus fragilis","species","52962","157.3","145","13778"
"19076","spm","","491316","33234","","BYU 571/8901","","","humerus","","1","table","","""diameter"" is also given, but it is not clear what this means","Allosaurus fragilis","species","52962","","Allosaurus fragilis","species","52962","157.3","145","13284"
"55866","spm","N","","0","","US 2210","","","femur","","1","table","","","UNKNOWN","species","65781","nomen dubium","Allosaurus","genus","38590","","","32089"
"55867","spm","N","","0","","YPM 1877","","","femur","","1","table","","minimum width of shaft","UNKNOWN","species","65781","nomen dubium","Allosaurus","genus","38590","","","32089"
"61883","spm","","408087","0","","UNSM 4734","","right","coracoid","","1","table","","length and ""greatest depth""","n. gen. Allosaurus n. sp. fragilis","species","52962","","Allosaurus fragilis","species","52962","157.3","145","13460"
"61884","spm","","408087","0","","UNSM 4734","","right","radius","","1","table","","width is least diameter of shaft","n. gen. Allosaurus n. sp. fragilis","species","52962","","Allosaurus fragilis","species","52962","157.3","145","13460"
"61885","spm","","408087","0","","UNSM 4734","","right","ulna","","1","table","","width is least diameter of shaft","n. gen. Allosaurus n. sp. fragilis","species","52962","","Allosaurus fragilis","species","52962","157.3","145","13460"
"80185","spm","","489691","0","","OMNH 1370","paratype","","tibia","","1","text","","","n. gen. Saurophagus n. sp. maximus","species","57232","subjective synonym of","Allosaurus fragilis","species","52962","155.7","145","13171"
"80186","spm","","489691","0","","OMNH 1708","paratype","","femur","","1","text","","","n. gen. Saurophagus n. sp. maximus","species","57232","subjective synonym of","Allosaurus fragilis","species","52962","155.7","145","13171"
"80187","spm","","489691","0","","OMNH 1935","paratype","","humerus","","1","text","","","n. gen. Saurophagus n. sp. maximus","species","57232","subjective synonym of","Allosaurus fragilis","species","52962","155.7","145","13171"
"97140","spm","","408087","0","","UNSM 4734","","right","scapula","","1","table","","greatest length and breadth","n. gen. Allosaurus n. sp. fragilis","species","52962","","Allosaurus fragilis","species","52962","157.3","145","13460"
