"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"80652","spm","","929493","0","","","holotype","","","","1","","","","Anchiornis huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","35452"
"80653","spm","","929493","0","","","holotype","","humerus","","1","","","","Anchiornis huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","35452"
"80654","spm","","929493","0","","","holotype","","ulna","","1","","","","Anchiornis huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","35452"
"80655","spm","","929493","0","","","holotype","","femur","","1","","","","Anchiornis huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","35452"
"80656","spm","","929493","0","","","holotype","","tibia","","1","","","","Anchiornis huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","35452"
"126917","spm","","1191912","0","","IVPP V14378","holotype","","scapula","","1","","","","n. gen. Anchiornis n. sp. huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","49934"
"126918","spm","","1191912","0","","IVPP V14378","holotype","","humerus","","1","","","","n. gen. Anchiornis n. sp. huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","49934"
"126919","spm","","1191912","0","","IVPP V14378","holotype","","ulna","","1","","","","n. gen. Anchiornis n. sp. huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","49934"
"126920","spm","","1191912","0","","IVPP V14378","holotype","","femur","","1","","","","n. gen. Anchiornis n. sp. huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","49934"
"126921","spm","","1191912","0","","IVPP V14378","holotype","","tibia","","1","","","","n. gen. Anchiornis n. sp. huxleyi","species","155059","","Anchiornis huxleyi","species","155059","167.7","150.8","49934"
