"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56116","spm","","654765","19251","","MDT-PV 1/16","","","humerus","","1","table","","width is least shaft diameter","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56117","spm","","654765","19251","","MDT-PV 1/17","","","ulna","","1","table","","width is least shaft diameter","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56118","spm","","654765","19251","","MDT-PV 1/3","","","femur","","1","table","","width is least shaft diameter","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56119","spm","","654765","19251","","MDT-PV 1/23","","","femur","","1","table","","width is least shaft diameter","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56120","spm","","654765","19251","","MDT-PV 1/27","","","femur","","1","table","","width is least shaft diameter","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56121","spm","","654765","19251","","MDT-PV 1/26","","","femur","","1","table","","width is least shaft diameter","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56122","spm","","654765","19251","","MDT-PV 1/2","","","tibia","","1","table","","least width","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56123","spm","","654765","19251","","MDT-PV 1/28","","","tibia","","1","table","","least width","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56124","spm","","654765","19251","","MDT-PV 1/34","","","tibia","","1","table","","least width","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56125","spm","","654765","19251","","MDT-PV 1/48","holotype","","femur","","1","table","","least width","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56126","spm","","654765","19251","","MDT-PV 1/48","holotype","","tibia","","1","table","","least width","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
"56127","spm","","654765","19251","","MDT-PV 1/48","holotype","","fibula","","1","table","","least width (reported as 4, presumably a typo)","n. gen. Aniksosaurus n. sp. darwini","species","97083","","Aniksosaurus darwini","species","97083","100.5","89.8","23710"
