"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18963","spm","","464518","0","","AMNH 5214","","both","humerus","","1","text","","","Ankylosaurus magniventris","species","52793","","Ankylosaurus magniventris","species","52793","70.6","66","11822"
"18964","spm","","464518","0","","AMNH 5214","","left","femur","","1","text","","","Ankylosaurus magniventris","species","52793","","Ankylosaurus magniventris","species","52793","70.6","66","11822"
"18965","spm","","464518","0","","AMNH 5214","","","fibula","","1","text","","","Ankylosaurus magniventris","species","52793","","Ankylosaurus magniventris","species","52793","70.6","66","11822"
"68847","spm","","139340","0","","AMNH 5895","holotype","","skull","","1","","","maximum width between posterorbital horns","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","72.1","66","7748"
"68848","spm","","139340","0","","AMNH 5895","holotype","","scapulacoracoid","","1","","","maximum anteroposterior width of the proximal end","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","72.1","66","7748"
"68849","spm","","139340","0","","AMNH 5214 ","","","skull","","1","","","maximum width between posterorbital horns","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","72.1","66","7748"
"68850","spm","","139340","0","","AMNH 5214 ","","left","humerus","","1","","","maximum anteroposterior width of the proximal end","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","72.1","66","7748"
"68851","spm","","139340","0","","AMNH 5214 ","","left","femur","","1","","","widht = midshaft","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","72.1","66","7748"
"68852","spm","","139340","0","","AMNH 5214 ","","right","fibula","","1","","","maximum anteroposterior width of the proximal end","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","72.1","66","7748"
"68853","spm","","139340","0","","AMNH 5214 ","","right","humerus","","1","","","maximum anteroposterior width of the proximal end","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","72.1","66","7748"
"68854","spm","","139340","0","","NMC 8880 ","","","skull","","1","","","maximum width between posterorbital horns","n. gen. Ankylosaurus n. sp. magniventris","species","52793","","Ankylosaurus magniventris","species","52793","72.1","66","7748"
