"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18600","spm","","487439","12435","","AMNH 21800","","","femur","","1","table","","width based on Smith and Galton 1990; length originally given by them as 314","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18601","spm","","487441","12437","","AMNH 6570","","","femur","","1","table","","","Ornithomimus asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18602","spm","","487439","12435","","AMNH 21801","","","tibia","","1","table","","width based on Smith and Galton 1990; length originally given by them as 401","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18603","spm","","487439","12435","","AMNH 6576","","","tibia","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18604","spm","","487441","12437","","AMNH 6570","","","tibia","","1","table","","","Ornithomimus asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","34423"
"18605","spm","N","","0","","AMNH","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","57276","recombined as","Archaeornithomimus asiaticus","species","57275","","","34423"
"18606","spm","N","","0","","AMNH","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","57276","recombined as","Archaeornithomimus asiaticus","species","57275","","","34423"
"18767","spm","","487439","12435","","AMNH 21795","","","humerus","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","14108"
"18768","spm","","487439","12435","","AMNH 21796","","","radius","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","14108"
"18769","spm","","487439","12435","","AMNH 21796","","","ulna","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","14108"
"18770","spm","","487439","12435","","AMNH 21796","","","humerus","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","14108"
"18771","spm","","487439","12435","","AMNH 6569","holotype","","radius","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","14108"
"18772","spm","","487439","12435","","AMNH 6569","holotype","","ulna","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","14108"
"18773","spm","","487439","12435","","AMNH 21795","","","scapula","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","14108"
"18774","spm","","487439","12435","","AMNH 21795","","","coracoid","","1","table","","","Ornithomimus n. sp. asiaticus","species","57275","recombined as","Archaeornithomimus asiaticus","species","57275","83.5","70.6","14108"
