"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18992","spm","","586532","0","","FIP","","left","femur","","1","table","","""adult"" specimen, number not given, not the type","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"18993","spm","","586532","0","","FIP","","left","humerus","","1","table","","""adult"" specimen, number not given, not the type","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"18994","spm","","586532","0","","FIP","","left","tibia","","1","table","","""adult"" specimen, number not given, not the type","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80733","spm","","586532","0","","FIP001","holotype","","skull","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80734","spm","","586532","0","","FIP001","holotype","right","scapula","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80735","spm","","586532","0","","FIP001","holotype","left","coracoid","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80736","spm","","586532","0","","FIP001","holotype","left","humerus","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80737","spm","","586532","0","","FIP001","holotype","left","ulna","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80738","spm","","586532","0","","FIP001","holotype","left","femur","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80739","spm","","586532","0","","FIP001","holotype","left","tibia","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80740","spm","","586532","0","","FIP 002-136","paratype","","femur","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80741","spm","","586532","0","","FIP 002-136","paratype","","humerus","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
"80742","spm","","586532","0","","FIP 002-136","paratype","","tibia","","1","table","","","n. gen. Bambiraptor n. sp. feinbergi","species","82048","","Bambiraptor feinbergi","species","82048","83.6","72.1","15024"
