"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18906","spm","","408061","0","","Y.P.M. No. 1878","","","humerus","","1","table","","","Camptonotus n. sp. dispar","species","52979","recombined as","Camptosaurus dispar","species","52979","157.3","145","7813"
"18907","spm","","408061","0","","Y.P.M. No. 1878","","","radius","","1","table","","","Camptonotus n. sp. dispar","species","52979","recombined as","Camptosaurus dispar","species","52979","157.3","145","7813"
"18908","spm","","408061","0","","Y.P.M. No. 1878","","","ulna","","1","table","","","Camptonotus n. sp. dispar","species","52979","recombined as","Camptosaurus dispar","species","52979","157.3","145","7813"
"18909","spm","","408061","0","","Y.P.M. No. 1877","holotype","","femur","","1","table","","","Camptonotus n. sp. dispar","species","52979","recombined as","Camptosaurus dispar","species","52979","157.3","145","7813"
"18910","spm","","408061","0","","Y.P.M. No. 1877","holotype","","tibia","","1","table","","","Camptonotus n. sp. dispar","species","52979","recombined as","Camptosaurus dispar","species","52979","157.3","145","7813"
"18931","spm","","408064","0","","Y.P.M. No. 1878","holotype","","humerus","","1","table","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","13449"
"18932","spm","","408064","0","","Y.P.M. No. 1878","holotype","","ulna","","1","table","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","13449"
"18933","spm","","408064","0","","Y.P.M. No. 1878","holotype","","radius","","1","table","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","13449"
"18934","spm","","408064","0","","U.S.N.M. No. 5818","","","femur","","1","table","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","13449"
"18935","spm","","408064","0","","U.S.N.M. No. 5818","","","tibia","","1","table","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","13449"
"19003","spm","","408062","0","","USNM 2210","holotype","","scapula","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19004","spm","","408062","0","","USNM 2210","holotype","","coracoid","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19005","spm","","408062","0","","USNM 2210","holotype","","humerus","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19006","spm","","408062","0","","USNM 2210","holotype","","ulna","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19007","spm","","408062","0","","USNM 2210","holotype","","radius","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19008","spm","","408062","0","","USNM 2210","holotype","","ilium","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19009","spm","","408062","0","","USNM 2210","holotype","","femur","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19010","spm","","408062","0","","USNM 2210","holotype","","tibia","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19011","spm","","408062","0","","USNM 2210","holotype","","fibula","","1","","","","Camptosaurus n. sp. nanus","species","54252","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19012","spm","","408064","0","","USNM 4282","holotype","","scapula","","1","","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19013","spm","","408064","0","","USNM 4282","holotype","","coracoid","","1","","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19014","spm","","408064","0","","USNM 4282","holotype","","humerus","","1","","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19015","spm","","408064","0","","USNM 4282","holotype","","ulna","","1","","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19016","spm","","408064","0","","USNM 4282","holotype","","radius","","1","","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
"19017","spm","","408064","0","","USNM 4282","holotype","","ischium","","1","","","","Camptosaurus n. sp. browni","species","64602","subjective synonym of","Camptosaurus dispar","species","52979","157.3","145","18057"
