"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18668","spm","","486010","0","","Geol. Survey Canada no. 8537","holotype","","humerus","","1","table","","width is least diameter","Thescelosaurus n. sp. edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","18598"
"18669","spm","","486010","0","","Geol. Survey Canada no. 8537","holotype","","femur","","1","table","","width is least diameter","Thescelosaurus n. sp. edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","18598"
"18670","spm","","486010","0","","Geol. Survey Canada no. 8537","holotype","","tibia","","1","table","","width is least diameter","Thescelosaurus n. sp. edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","18598"
"18671","spm","","486010","0","","Geol. Survey Canada no. 8537","holotype","","fibula","","1","table","","diameter not stated","Thescelosaurus n. sp. edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","18598"
"18697","spm","","486009","0","","USNM 7757","holotype","","ulna","","1","table","","see also Galton 1974","n. gen. Thescelosaurus n. sp. neglectus","species","52897","","Thescelosaurus neglectus","species","52897","70.6","66","12059"
"18698","spm","","486009","0","","USNM 7757","holotype","","radius","","1","table","","see also Galton 1974","n. gen. Thescelosaurus n. sp. neglectus","species","52897","","Thescelosaurus neglectus","species","52897","70.6","66","12059"
"18699","spm","","486009","0","","USNM 7757","holotype","","femur","","1","table","","see also Galton 1974; said to be 335 by Horner and Weishampel 1988","n. gen. Thescelosaurus n. sp. neglectus","species","52897","","Thescelosaurus neglectus","species","52897","70.6","66","12059"
"18700","spm","","486009","0","","USNM 7757","holotype","","tibia","","1","table","","see also Galton 1974","n. gen. Thescelosaurus n. sp. neglectus","species","52897","","Thescelosaurus neglectus","species","52897","70.6","66","12059"
"18701","spm","","486009","0","","USNM 7757","holotype","","fibula","","1","table","","see also Galton 1974","n. gen. Thescelosaurus n. sp. neglectus","species","52897","","Thescelosaurus neglectus","species","52897","70.6","66","12059"
"18702","spm","","529358","30775","","AMNH 5031","","","humerus","","1","table","","215 by 22 according to Gilmore 1915","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","72.1","66","12623"
"18703","spm","","529358","30775","","AMNH 5031","","","tibia","","1","table","","no minimum width","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","72.1","66","12623"
"18704","spm","","529357","30776","","AMNH 5034","","","humerus","","1","table","","","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","70.6","66","12623"
"18705","spm","","529357","30776","","AMNH 5034","","","ulna","","1","table","","no minimum width","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","70.6","66","12623"
"18706","spm","","529357","30776","","AMNH 5034","","","radius","","1","table","","","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","70.6","66","12623"
"87657","spm","","486010","0","","Geol. Survey Canada no. 8537","","","scapula","","1","text","","","Thescelosaurus n. sp. edmontonensis","species","64745","","Thescelosaurus edmontonensis","species","64745","70.6","66","12623"
"87658","spm","","529358","30775","","AMNH 5031","","","scapula","","1","table","","","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","72.1","66","12623"
"87659","spm","","529358","30775","","AMNH 5031","","","coracoid","","1","table","","","Thescelosaurus neglectus","species","52897","","Thescelosaurus neglectus","species","52897","72.1","66","12623"
