"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"80660","spm","","534996","0","","MPCA 245","holotype","","skull","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80661","spm","","534996","0","","MPCA 245","holotype","","scapula","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80662","spm","","534996","0","","MPCA 245","holotype","","coracoid","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80663","spm","","534996","0","","MPCA 245","holotype","","humerus","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80664","spm","","534996","0","","MPCA 245","holotype","","radius","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80665","spm","","534996","0","","MPCA 245","holotype","","ulna","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80666","spm","","534996","0","","MPCA 245","holotype","","femur","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80667","spm","","534996","0","","MPCA 245","holotype","","tibia","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80668","spm","","534996","0","","MPCA 245","holotype","","fibula","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
"80669","spm","","534996","0","","MPCA 245","holotype","","femur","","1","table","","","n. gen. Buitreraptor n. sp. gonzalezorum","species","68202","","Buitreraptor gonzalezorum","species","68202","99.6","93.5","14869"
