"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18826","spm","","219972","12456","","Amer. Mus. Coll. No. 332","","","humerus","","1","table","","","Morosaurus sp.","genus","52968","subjective synonym of","Camarasaurus","genus","38697","157.3","145","13070"
"18827","spm","","219972","12456","","Amer. Mus. Coll. No. 332","","","ulna","","1","table","","","Morosaurus sp.","genus","52968","subjective synonym of","Camarasaurus","genus","38697","157.3","145","13070"
"18828","spm","","219972","12456","","Amer. Mus. Coll. No. 332","","","radius","","1","table","","","Morosaurus sp.","genus","52968","subjective synonym of","Camarasaurus","genus","38697","157.3","145","13070"
"18890","spm","","408400","0","","Yale Mus. No. 1905","holotype","","scapula","","1","table","","","Apatosaurus n. sp. grandis","species","52961","recombined as","Camarasaurus grandis","species","52961","157.3","145","18056"
"18891","spm","","408400","0","","Yale Mus. No. 1905","holotype","","humerus","","1","table","","","Apatosaurus n. sp. grandis","species","52961","recombined as","Camarasaurus grandis","species","52961","157.3","145","18056"
"18892","spm","","408400","0","","Yale Mus. No. 1905","holotype","","ulna","","1","table","","","Apatosaurus n. sp. grandis","species","52961","recombined as","Camarasaurus grandis","species","52961","157.3","145","18056"
"18893","spm","","408400","0","","Yale Mus. No. 1905","holotype","","ischium","","1","table","","","Apatosaurus n. sp. grandis","species","52961","recombined as","Camarasaurus grandis","species","52961","157.3","145","18056"
"18894","spm","","408400","0","","Yale Mus. No. 1905","holotype","","femur","","1","table","","an identical value is reported by Marsh 1878","Apatosaurus n. sp. grandis","species","52961","recombined as","Camarasaurus grandis","species","52961","157.3","145","18056"
"18895","spm","","481755","0","","Am. Mus. Nat. Hist. No. 5760","holotype","","scapula","","1","table","","","n. gen. Camarasaurus n. sp. supremus","species","54168","","Camarasaurus supremus","species","54168","157.3","145","18056"
"18896","spm","","481755","0","","Am. Mus. Nat. Hist. No. 5760","holotype","","coracoid","","1","table","","","n. gen. Camarasaurus n. sp. supremus","species","54168","","Camarasaurus supremus","species","54168","157.3","145","18056"
"18897","spm","","481755","0","","Am. Mus. Nat. Hist. No. 5760","holotype","","humerus","","1","table","","","n. gen. Camarasaurus n. sp. supremus","species","54168","","Camarasaurus supremus","species","54168","157.3","145","18056"
"18898","spm","","481755","0","","Am. Mus. Nat. Hist. No. 5760","holotype","","ilium","","1","table","","","n. gen. Camarasaurus n. sp. supremus","species","54168","","Camarasaurus supremus","species","54168","157.3","145","18056"
"18899","spm","","481755","0","","Am. Mus. Nat. Hist. No. 5760","holotype","","pubis","","1","table","","","n. gen. Camarasaurus n. sp. supremus","species","54168","","Camarasaurus supremus","species","54168","157.3","145","18056"
"18900","spm","","481755","0","","Am. Mus. Nat. Hist. No. 5760","holotype","","ischium","","1","table","","","n. gen. Camarasaurus n. sp. supremus","species","54168","","Camarasaurus supremus","species","54168","157.3","145","18056"
"18901","spm","","481755","0","","Am. Mus. Nat. Hist. No. 5760","holotype","","femur","","1","table","","","n. gen. Camarasaurus n. sp. supremus","species","54168","","Camarasaurus supremus","species","54168","157.3","145","18056"
"18902","spm","","481755","0","","Am. Mus. Nat. Hist. No. 5760","holotype","","tibia","","1","table","","","n. gen. Camarasaurus n. sp. supremus","species","54168","","Camarasaurus supremus","species","54168","157.3","145","18056"
