"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56014","spm","","130295","0","","NGMC 97-4-A","holotype","","skull","","1","table","","","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","130","122.46","4006"
"56015","spm","","130295","0","","NGMC 97-4-A","holotype","","humerus","","1","table","","","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","130","122.46","4006"
"56016","spm","","130295","0","","NGMC 97-4-A","holotype","","femur","","1","table","","","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","130","122.46","4006"
"56017","spm","","130295","0","","NGMC 97-4-A","holotype","","tibia","","1","table","","","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","130","122.46","4006"
"56018","spm","","130295","0","","NGMC 97-9-A","paratype","","skull","","1","table","","","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","130","122.46","4006"
"56019","spm","","130295","0","","NGMC 97-9-A","paratype","","humerus","","1","table","","","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","130","122.46","4006"
"56020","spm","","130295","0","","NGMC 97-9-A","paratype","","femur","","1","table","","","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","130","122.46","4006"
"56021","spm","","130295","0","","NGMC 97-9-A","paratype","","tibia","","1","table","","","n. gen. Caudipteryx n. sp. zoui","species","66066","","Caudipteryx zoui","species","66066","130","122.46","4006"
"80607","spm","N","","0","","IVPP V11819","","","femur","","1","","","","UNKNOWN","species","66066","obsolete variant of","Caudipteryx zoui","species","66066","","","31351"
"80608","spm","","537314","0","","IVPP V 12344","holotype","","humerus","","1","text","","","Caudipteryx n. sp. dongi","species","68392","","Caudipteryx dongi","species","68392","130","122.46","15009"
"80609","spm","","537314","0","","IVPP V 12344","holotype","","radius","","1","text","","","Caudipteryx n. sp. dongi","species","68392","","Caudipteryx dongi","species","68392","130","122.46","15009"
"80610","spm","","537314","0","","IVPP V 12344","holotype","","ulna","","1","text","","","Caudipteryx n. sp. dongi","species","68392","","Caudipteryx dongi","species","68392","130","122.46","15009"
"80611","spm","","537314","0","","IVPP V 12344","holotype","","femur","","1","text","","","Caudipteryx n. sp. dongi","species","68392","","Caudipteryx dongi","species","68392","130","122.46","15009"
"80612","spm","","537314","0","","IVPP V 12344","holotype","","femur","","1","text","","","Caudipteryx n. sp. dongi","species","68392","","Caudipteryx dongi","species","68392","130","122.46","15009"
"80613","spm","","537314","0","","IVPP V 12344","holotype","","tibia","","1","text","","","Caudipteryx n. sp. dongi","species","68392","","Caudipteryx dongi","species","68392","130","122.46","15009"
"80614","spm","","537314","0","","IVPP V 12344","holotype","","fibula","","1","text","","","Caudipteryx n. sp. dongi","species","68392","","Caudipteryx dongi","species","68392","130","122.46","15009"
