"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"19023","spm","","491741","34192","","MWC 1","holotype","left","humerus","","1","text","","minimum width","Ceratosaurus n. sp. magnicornis","species","65573","subjective synonym of","Ceratosaurus nasicornis","species","54165","157.3","145","13300"
"19024","spm","","491741","34192","","MWC 1","holotype","right","femur","","1","text","","minimum width","Ceratosaurus n. sp. magnicornis","species","65573","subjective synonym of","Ceratosaurus nasicornis","species","54165","157.3","145","13300"
"19025","spm","","491741","34192","","MWC 1","holotype","right","tibia","","1","text","","minimum width","Ceratosaurus n. sp. magnicornis","species","65573","subjective synonym of","Ceratosaurus nasicornis","species","54165","157.3","145","13300"
"55997","spm","","489361","22267","","ML 352","","right","femur","","1","text","","","Ceratosaurus sp.","genus","38600","","Ceratosaurus","genus","38600","155.7","145","19890"
"78829","spm","","408081","0","","USNM 4735","holotype","","skull","","1","","","","n. gen. Ceratosaurus n. sp. nasicornis","species","54165","","Ceratosaurus nasicornis","species","54165","157.3","145","12248"
"78830","spm","","408081","0","","USNM 4735","holotype","","radius","","1","","","","n. gen. Ceratosaurus n. sp. nasicornis","species","54165","","Ceratosaurus nasicornis","species","54165","157.3","145","12248"
"78831","spm","","408081","0","","USNM 4735","holotype","","ulna","","1","","","","n. gen. Ceratosaurus n. sp. nasicornis","species","54165","","Ceratosaurus nasicornis","species","54165","157.3","145","12248"
"78832","spm","","408081","0","","USNM 4735","holotype","","femur","","1","","","","n. gen. Ceratosaurus n. sp. nasicornis","species","54165","","Ceratosaurus nasicornis","species","54165","157.3","145","12248"
"78833","spm","","408081","0","","USNM 4735","holotype","","tibia","","1","","","","n. gen. Ceratosaurus n. sp. nasicornis","species","54165","","Ceratosaurus nasicornis","species","54165","157.3","145","12248"
"142608","spm","","1237631","30546","","UMNH 5278","","","humerus","","1","","","","Ceratosaurus n. sp. dentisulcatus","species","65574","subjective synonym of","Ceratosaurus nasicornis","species","54165","157.3","152.1","13300"
"142609","spm","","1237631","30546","","UMNH 5278","","","femur","","1","","","","Ceratosaurus n. sp. dentisulcatus","species","65574","subjective synonym of","Ceratosaurus nasicornis","species","54165","157.3","152.1","13300"
"142610","spm","","1237631","30546","","UMNH 5278","","","tibia","","1","","","","Ceratosaurus n. sp. dentisulcatus","species","65574","subjective synonym of","Ceratosaurus nasicornis","species","54165","157.3","152.1","13300"
"142611","spm","","1237631","30546","","UMNH 5278","","","fibula","","1","","","","Ceratosaurus n. sp. dentisulcatus","species","65574","subjective synonym of","Ceratosaurus nasicornis","species","54165","157.3","152.1","13300"
