"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"83488","spm","","292785","0","","OUMNH  J13605","holotype","left","scapula","","1","table","","Minimum  width  of  scapular blade","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83489","spm","","292785","0","","OUMNH  J13606","holotype","right","scapula","","1","table","","Minimum  width  of  scapular blade","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83490","spm","","292785","0","","OUMNH  J13609","holotype","left","coracoid","","1","table","","","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83491","spm","","292785","0","","OUMNH  J13610","holotype","right","coracoid","","1","table","","","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83492","spm","","292785","0","","OUMNH  J13612","holotype","left","humerus","","1","table","","Minimum  shaft circumference","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83493","spm","","292785","0","","OUMNH  J13613","holotype","right","humerus","","1","table","","Minimum  shaft circumference","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83494","spm","","292785","0","","OUMNH  J13611","holotype","right","ulna","","1","table","","Minimum  shaft circumference","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83495","spm","","292785","0","","OUMNH  J13615","holotype","right","femur","","1","table","","Minimum  shaft circumference","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83496","spm","","292785","0","","OUMNH  J13621","holotype","right","tibia","","1","table","","Minimum  shaft circumference","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
"83497","spm","","292785","0","","OUMNH  J13619","holotype","right","fibula","","1","table","","Minimum  shaft circumference","Cetiosaurus oxoniensis","species","66688","","Cetiosaurus oxoniensis","species","66688","171.6","167.7","14456"
