"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18564","spm","N","","0","","AMNH 2704","","","femur","","1","table","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","34423"
"78713","spm","","366438","0","","destroyed","holotype","","humerus","","1","","","","n. gen. Podokesaurus n. sp. holyokensis","species","54411","","Podokesaurus holyokensis","species","54411","201.3","190.8","9194"
"78714","spm","","366438","0","","destroyed","holotype","","femur","","1","","","","n. gen. Podokesaurus n. sp. holyokensis","species","54411","","Podokesaurus holyokensis","species","54411","201.3","190.8","9194"
"78715","spm","","366438","0","","destroyed","holotype","","tibia","","1","","","","n. gen. Podokesaurus n. sp. holyokensis","species","54411","","Podokesaurus holyokensis","species","54411","201.3","190.8","9194"
"78716","spm","","366438","0","","BSNH 13656","","","tibia","","1","","","","n. gen. Podokesaurus n. sp. holyokensis","species","54411","","Podokesaurus holyokensis","species","54411","201.3","190.8","9194"
"78717","spm","","366438","0","","BSNH 13656","","","tibia","","1","","","","n. gen. Podokesaurus n. sp. holyokensis","species","54411","","Podokesaurus holyokensis","species","54411","201.3","190.8","9194"
"78718","spm","N","","0","","MNA V2623","holotype","","femur","","1","","","","UNKNOWN","species","101009","recombined as","Coelophysis kayentakatae","species","55540","","","14775"
"78719","spm","N","","0","","MNA V2623","holotype","","tibia","","1","","","","UNKNOWN","species","101009","recombined as","Coelophysis kayentakatae","species","55540","","","14775"
"78720","spm","N","","0","","MNA V2623","holotype","","fibula","","1","","","","UNKNOWN","species","101009","recombined as","Coelophysis kayentakatae","species","55540","","","14775"
"78721","spm","N","","0","","TMM 43688-1","holotype","","femur","","1","","","","UNKNOWN","species","101009","recombined as","Coelophysis kayentakatae","species","55540","","","14775"
"78722","spm","N","","0","","TMM 43688-1","holotype","","femur","","1","","","","UNKNOWN","species","101009","recombined as","Coelophysis kayentakatae","species","55540","","","14775"
"78727","spm","N","","0","","AMNH 7224","","","skull","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78728","spm","N","","0","","AMNH 7224","","","scapula","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78729","spm","N","","0","","AMNH 7224","","","humerus","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78730","spm","N","","0","","AMNH 7224","","","radius","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78731","spm","N","","0","","AMNH 7224","","","ulna","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78732","spm","N","","0","","AMNH 7224","","","femur","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78733","spm","N","","0","","AMNH 7224","","","tibia","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78734","spm","N","","0","","AMNH 7223","","","skull","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78735","spm","N","","0","","AMNH 7223","","","femur","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78736","spm","N","","0","","AMNH 7223","","","humerus","","1","","","holotype of Rioarribasaurus colberti","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78737","spm","N","","0","","AMNH 7223","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78738","spm","N","","0","","AMNH 7227","","","skull","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78739","spm","N","","0","","AMNH 7227","","","humerus","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78740","spm","N","","0","","AMNH 7227","","","femur","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78741","spm","N","","0","","AMNH 7227","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78742","spm","N","","0","","AMNH 7230","","","skull","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78743","spm","N","","0","","AMNH 7230","","","humerus","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78744","spm","N","","0","","AMNH 7230","","","femur","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78745","spm","N","","0","","AMNH 7230","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78746","spm","N","","0","","AMNH 7245","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78747","spm","N","","0","","AMNH 7236","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78748","spm","N","","0","","AMNH 7229","","","humerus","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78749","spm","N","","0","","AMNH 7229","","","femur","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78750","spm","N","","0","","AMNH 7229","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78751","spm","N","","0","","AMNH 7231","","","humerus","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78752","spm","N","","0","","AMNH 7231","","","femur","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78753","spm","N","","0","","AMNH 7231","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78754","spm","N","","0","","AMNH 7232","","","humerus","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78755","spm","N","","0","","AMNH 7232","","","femur","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78756","spm","N","","0","","AMNH 7232","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78757","spm","N","","0","","AMNH 7233","","","femur","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78758","spm","N","","0","","AMNH 7233","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78759","spm","N","","0","","AMNH 7244","","","femur","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78760","spm","N","","0","","AMNH 7244","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78761","spm","N","","0","","AMNH 7249","","","femur","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
"78762","spm","N","","0","","AMNH 7249","","","tibia","","1","","","","UNKNOWN","species","55477","recombined as","Coelophysis bauri","species","54212","","","4207"
