"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"78637","spm","","557162","0","","BSPAS I 563","holotype","","skull","","1","text","","","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78639","spm","","557162","0","","CNJ 79","","left","scapula","","1","table","","","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78640","spm","","557162","0","","CNJ 79","","right","coracoid","","1","table","","","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78641","spm","","557162","0","","CNJ 79","","right","humerus","","1","table","","Diameter = mid-shaft diameter","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78642","spm","","557162","0","","CNJ 79","","right","ulna","","1","table","","","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78643","spm","","557162","0","","CNJ 79","","right","radius","","1","table","","","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78644","spm","","557162","0","","CNJ 79","","right","tibia","","1","table","","Diameter = min. shaft diameter","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78645","spm","","557162","0","","CNJ 79","","left","femur","","1","table","","","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78646","spm","","557162","0","","CNJ 79","","left","tibia","","1","table","","","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78647","spm","","557162","0","","CNJ 79","","left","humerus","","1","table","","Diameter = min. shaft diameter","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
"78648","spm","","557162","0","","CNJ 79","","left","fibula","","1","table","","","n. gen. Compsognathus n. sp. longipes","species","53007","","Compsognathus longipes","species","53007","152.1","145","19484"
