"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"55970","spm","","536667","0","","IVPP V13352","holotype","","femur","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"55971","spm","","536667","0","","TNP00996","","","femur","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"55972","spm","","536667","0","","IVPP V13477","","","femur","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"55973","spm","","536667","0","","IVPP V13351","","","femur","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"55974","spm","","536667","0","","IVPP V13320","","","femur","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"55975","spm","","536667","0","","IVPP V13476","","","femur","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"80759","spm","","537524","0","","IVPP V 12330","holotype","","skull","","1","","","","n. gen. Microraptor n. sp. zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14918"
"80760","spm","","537524","0","","IVPP V 12330","holotype","","radius","","1","","","","n. gen. Microraptor n. sp. zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14918"
"80761","spm","","537524","0","","IVPP V 12330","holotype","","ulna","","1","","","","n. gen. Microraptor n. sp. zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14918"
"80762","spm","","537524","0","","IVPP V 12330","holotype","","femur","","1","","","","n. gen. Microraptor n. sp. zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14918"
"80763","spm","","537524","0","","IVPP V 12330","holotype","","tibia","","1","","","","n. gen. Microraptor n. sp. zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14918"
"80764","spm","","535893","0","","CAGS 20-8-001","","","humerus","","1","","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","33219"
"80765","spm","","535893","0","","CAGS 20-8-001","","","ulna","","1","","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","33219"
"80766","spm","","535893","0","","CAGS 20-8-001","","","tibiotarsus","","1","","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","33219"
"80767","spm","","536667","0","","IVPP V13352","","","humerus","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"80768","spm","","536667","0","","IVPP V13352","","","radius","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"80769","spm","","536667","0","","IVPP V13352","","","ulna","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"80770","spm","","536667","0","","IVPP V13352","","","tibiotarsus","","1","table","","","Microraptor n. sp. gui","species","68246","","Microraptor gui","species","68246","125","113","14924"
"80771","spm","","535893","0","","CAGS 20-8-001","","","radius","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80772","spm","","535893","0","","CAGS 20-8-001","","","femur","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80773","spm","","535893","0","","CAGS 20-8-001","","","tibiotarsus","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80774","spm","","535893","0","","CAGS 20-8-001","","","fibula","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80775","spm","","535893","0","","CAGS 20-8-001","","","femur","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80776","spm","","535893","0","","CAGS 20-8-004","","","humerus","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80777","spm","","535893","0","","CAGS 20-8-004","","","humerus","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80778","spm","","535893","0","","CAGS 20-8-004","","","radius","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80779","spm","","535893","0","","CAGS 20-8-004","","","ulna","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80780","spm","","535893","0","","CAGS 20-8-004","","","fibula","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80781","spm","","535893","0","","CAGS 20-8-004","","","femur","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80782","spm","","535893","0","","CAGS 20-8-004","","","femur","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80783","spm","","535893","0","","CAGS 20-8-004","","","tibiotarsus","","1","table","","","Microraptor zhaoianus","species","68239","","Microraptor zhaoianus","species","68239","125","113","14909"
"80784","spm","","739676","23300","","LPM 0200/0201 = BPM 1 3-13","holotype","","femur","","1","","","","n. gen. Cryptovolans n. sp. pauli","species","169939","subjective synonym of","Microraptor zhaoianus","species","68239","125","113","33218"
"80785","spm","","739676","23300","","LPM 0200/0201 = BPM 1 3-13","holotype","","tibia","","1","","","","n. gen. Cryptovolans n. sp. pauli","species","169939","subjective synonym of","Microraptor zhaoianus","species","68239","125","113","33218"
"80786","spm","","739676","23300","","LPM 0159","paratype","","humerus","","1","","","","n. gen. Cryptovolans n. sp. pauli","species","169939","subjective synonym of","Microraptor zhaoianus","species","68239","125","113","33218"
"80787","spm","","739676","23300","","LPM 0159","paratype","","radius","","1","","","","n. gen. Cryptovolans n. sp. pauli","species","169939","subjective synonym of","Microraptor zhaoianus","species","68239","125","113","33218"
"80788","spm","","739676","23300","","LPM 0159","paratype","","femur","","1","","","","n. gen. Cryptovolans n. sp. pauli","species","169939","subjective synonym of","Microraptor zhaoianus","species","68239","125","113","33218"
"80789","spm","","739676","23300","","LPM 0159","paratype","","tibia","","1","","","","n. gen. Cryptovolans n. sp. pauli","species","169939","subjective synonym of","Microraptor zhaoianus","species","68239","125","113","33218"
