"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18652","spm","","517548","0","","AMNH 5438","","","femur","","1","table","","said to be 841 mm by Erickson et al. 2004","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","83.6","72.1","34423"
"18653","spm","","517548","0","","AMNH 5438","","","tibia","","1","table","","","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","83.6","72.1","34423"
"19021","spm","N","","0","","FMNH PR 308","","","femur","","1","table","","estimated value","UNKNOWN","species","57258","obsolete variant of","Daspletosaurus torosus","species","57258","","","34553"
"80318","spm","","139290","23303","","NMC 8506","holotype","","skull","","1","","","","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","83.5","70.6","4205"
"80319","spm","","139290","23303","","NMC 8506","holotype","","scapula","","1","","","","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","83.5","70.6","4205"
"80320","spm","","139290","23303","","NMC 8506","holotype","","coracoid","","1","","","","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","83.5","70.6","4205"
"80321","spm","","139290","23303","","NMC 8506","holotype","","humerus","","1","","","","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","83.5","70.6","4205"
"80322","spm","","139290","23303","","NMC 8506","holotype","","radius","","1","","","","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","83.5","70.6","4205"
"80323","spm","","139290","23303","","NMC 8506","holotype","","ulna","","1","","","","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","83.5","70.6","4205"
"80324","spm","","139290","23303","","NMC 8506","holotype","","femur","","1","","","","n. gen. Daspletosaurus n. sp. torosus","species","57258","","Daspletosaurus torosus","species","57258","83.5","70.6","4205"
