"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18658","spm","N","","0","","MCZ 4371","","","femur","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","34423"
"61796","spm","","499605","0","","AMNH 3015,","","left","scapula","","1","table","","","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","14320"
"61797","spm","","499605","0","","AMNH 3015,","","both","humerus","","1","table","","Diameter = least diameter of shaft","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","14320"
"61798","spm","","499605","0","","AMNH 3015,","","left","ulna","","1","table","","Diameter = least diameter of shaft","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","14320"
"61799","spm","","499605","0","","AMNH 3015,","","left","radius","","1","table","","Diameter = least diameter of shaft","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","14320"
"61800","spm","","499605","0","","AMNH 3015,","","right","tibia","","1","table","","Diameter = least diameter of shaft","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","14320"
"61801","spm","","499605","0","","AMNH 3015,","","right","fibula","","1","table","","","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","14320"
"61802","spm","N","","0","","YPM 5210/5232","","","skull","","1","table","","composite measurements","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","14320"
"61803","spm","N","","0","","YPM 5220","","both","ulna","","1","table","","Diameter = least diameter of shaft","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","14320"
"61804","spm","N","","0","","YPM 5220","","left","radius","","1","table","","Diameter = least diameter of shaft","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","14320"
"61805","spm","N","","0","","YPM 5230","","left","radius","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","14320"
"78649","spm","","367439","0","","MCZ 4371","","","humerus","","1","table","","Diameter = least diameter of shaft","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","9233"
"78650","spm","","367439","0","","MCZ 4371","","","radius","","1","table","","Diameter = least diameter of shaft","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","9233"
"78651","spm","","367439","0","","MCZ 4371","","","ulna","","1","table","","","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","9233"
"78652","spm","","367439","0","","MCZ 4371","","","femur","","1","table","","","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","9233"
"78653","spm","","367439","0","","MCZ 4371","","","tibia","","1","table","","","Deinonychus antirrhopus","species","54555","","Deinonychus antirrhopus","species","54555","125","100.5","9233"
"80793","spm","N","","0","","YPM 5206","","","radius","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","14320"
"80794","spm","N","","0","","YPM 5210","","","skull","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","14320"
"80795","spm","N","","0","","MCZ 4371","","","humerus","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","9233"
"80796","spm","N","","0","","MCZ 4371","","","radius","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","9233"
"80797","spm","N","","0","","MCZ 4371","","","ulna","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","9233"
"80798","spm","N","","0","","MCZ 4371","","","femur","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","9233"
"80799","spm","N","","0","","MCZ 4371","","","tibia","","1","table","","","UNKNOWN","species","54555","obsolete variant of","Deinonychus antirrhopus","species","54555","","","9233"
