"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"19082","spm","","689682","33690","","TMP 66.04.01","","","scapula","","1","text","","","Lambeosaurus magnicristatus","species","65429","","Lambeosaurus magnicristatus","species","63453","83.5","70.6","24881"
"19083","spm","","512993","0","","CMN 8705","holotype","","femur","","1","text","","","Lambeosaurus n. sp. magnicristatum","species","63453","corrected to","Lambeosaurus magnicristatus","species","63453","83.5","70.6","24881"
"19084","spm","","689682","33690","","TMP 66.04.01","","","radius","","1","text","","","Lambeosaurus magnicristatus","species","65429","","Lambeosaurus magnicristatus","species","63453","83.5","70.6","24881"
"19085","spm","","689682","33690","","TMP 66.04.01","","","tibia","","1","text","","","Lambeosaurus magnicristatus","species","65429","","Lambeosaurus magnicristatus","species","63453","83.5","70.6","24881"
"19086","spm","","689682","33690","","TMP 66.04.01","","","fibula","","1","text","","","Lambeosaurus magnicristatus","species","65429","","Lambeosaurus magnicristatus","species","63453","83.5","70.6","24881"
"19087","spm","","689682","33690","","TMP 66.04.01","","","femur","","1","text","","","Lambeosaurus magnicristatus","species","65429","","Lambeosaurus magnicristatus","species","63453","83.5","70.6","24881"
"19088","spm","","689682","33690","","TMP 66.04.01","","","humerus","","1","text","","value based on ""0.82 humerus/ radius [length] ratio"" and radius length of 615 mm","Lambeosaurus magnicristatus","species","65429","","Lambeosaurus magnicristatus","species","63453","83.5","70.6","24881"
"19089","spm","","689682","33690","","TMP 66.04.01","","","ulna","","1","text","","value based on ""0.82 humerus/ radius [length] ratio""; radius length of 615 mm; and statement that ulna ""is one third longer than the humerus""","Lambeosaurus magnicristatus","species","65429","","Lambeosaurus magnicristatus","species","63453","83.5","70.6","24881"
"55858","spm","","489303","31040","","ROM 1218","","","femur","","1","text","","","Lambeosaurus lambei","species","56724","","Lambeosaurus lambei","species","56724","83.5","70.6","32089"
"128951","spm","","1200168","0","","AMNH 5340","","","humerus","","1","","","","n. gen. Procheneosaurus praeceps","species","76810","subjective synonym of","Lambeosaurus lambei","species","56724","83.5","70.6","50635"
"128952","spm","","1200168","0","","AMNH 5340","","","femur","","1","","","","n. gen. Procheneosaurus praeceps","species","76810","subjective synonym of","Lambeosaurus lambei","species","56724","83.5","70.6","50635"
"128953","spm","","1200168","0","","AMNH 5340","","","tibia","","1","","","","n. gen. Procheneosaurus praeceps","species","76810","subjective synonym of","Lambeosaurus lambei","species","56724","83.5","70.6","50635"
