"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18565","spm","N","","0","","UCMP 37302","","","femur","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","34423"
"18566","spm","N","","0","","UCMP 37302","","","tibia","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","34423"
"18567","spm","N","","0","","UCMP 37302","","","fibula","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","34423"
"78676","spm","","259970","0","","KMV 8701","holotype","","skull","","1","","","","Dilophosaurus n. sp. sinensis","species","68105","","Dilophosaurus sinensis","species","68105","201.3","190.8","7052"
"78677","spm","","259970","0","","KMV 8701","holotype","","femur","","1","","","","Dilophosaurus n. sp. sinensis","species","68105","","Dilophosaurus sinensis","species","68105","201.3","190.8","7052"
"78678","spm","N","","0","","UCMP 37302","holotype","","skull","","1","","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","13845"
"78679","spm","N","","0","","UCMP 37302","holotype","","scapula","","1","","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","13845"
"78680","spm","N","","0","","UCMP 37302","holotype","","coracoid","","1","","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","13845"
"78681","spm","N","","0","","UCMP 37302","holotype","","humerus","","1","","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","13845"
"78682","spm","N","","0","","UCMP 37302","holotype","","ulna","","1","","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","13845"
"78683","spm","N","","0","","UCMP 37302","holotype","","radius","","1","","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","13845"
"78684","spm","N","","0","","MNA P1.109","","","femur","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78685","spm","N","","0","","MNA P1.109","","","tibia","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78686","spm","N","","0","","UCMP 7727a","","","femur","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78687","spm","N","","0","","UCMP 7727a","","","tibia","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78688","spm","N","","0","","UCMP 7727b","","","femur","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78689","spm","N","","0","","UCMP 7727b","","","tibia","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78690","spm","N","","0","","MNA P1.3145","","","femur","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78691","spm","N","","0","","MNA P1.3145","","","tibia","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78692","spm","N","","0","","MNA P1.160/161","","","femur","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
"78693","spm","N","","0","","MNA P1.160/161","","","tibia","","1","table","","","UNKNOWN","species","57251","recombined as","Dilophosaurus wetherilli","species","55479","","","19503"
