"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"86179","spm","N","","0","","MB.R.3606","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86180","spm","N","","0","","MB.R.3600","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86181","spm","N","","0","","MB.R.3605","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86182","spm","N","","0","","MB.R.3604","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86183","spm","N","","0","","MB.R.3599","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86184","spm","N","","0","","MB.R.3601","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86185","spm","N","","0","","MB.R.3603","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86186","spm","N","","0","","MB.R.3561","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86187","spm","N","","0","","MB.R.3566","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86188","spm","N","","0","","MB.R.3602","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86189","spm","N","","0","","MB.R.3567","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86190","spm","N","","0","","MB.R.3562","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86191","spm","N","","0","","MB.R.3560","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86192","spm","N","","0","","MB.R.3568","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86193","spm","N","","0","","MB.R.3569","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86194","spm","N","","0","","MB.R.3558","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86195","spm","N","","0","","MB.R.3592","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86196","spm","N","","0","","MB.R.3559","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86197","spm","N","","0","","MB.R.3570","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86198","spm","N","","0","","MB.R.3590","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86199","spm","N","","0","","MB.R.3595","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86200","spm","N","","0","","MB.R.3579","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86201","spm","N","","0","","MB.R.3581","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86202","spm","N","","0","","MB.R.3578","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86203","spm","N","","0","","MB.R.3584","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86204","spm","N","","0","","MB.R.3580","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86205","spm","N","","0","","MB.R.3577","","right","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86206","spm","N","","0","","MB.R.3583","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
"86207","spm","N","","0","","MB.R.3576","","left","femur","","1","table","","","UNKNOWN","species","56490","obsolete variant of","Kentrosaurus aethiopicus","species","56490","","","42719"
