"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18607","spm","","517533","33991","","AMNH 5201","","","femur","","1","table","","","Dromiceiomimus brevitertius","species","66907","subjective synonym of","Ornithomimus edmontonicus","species","63438","70.6","66","34423"
"18608","spm","","517533","33991","","AMNH 5201","","","tibia","","1","table","","","Dromiceiomimus brevitertius","species","66907","subjective synonym of","Ornithomimus edmontonicus","species","63438","70.6","66","34423"
"18609","spm","N","","0","","TMP","","","femur","","1","table","","unnumbered specimen","UNKNOWN","species","66907","subjective synonym of","Ornithomimus edmontonicus","species","63438","","","34423"
"18610","spm","N","","0","","TMP","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","66907","subjective synonym of","Ornithomimus edmontonicus","species","63438","","","34423"
"18611","spm","N","","0","","TMP","","","fibula","","1","table","","unnumbered specimen","UNKNOWN","species","66907","subjective synonym of","Ornithomimus edmontonicus","species","63438","","","34423"
"18617","spm","N","","0","","TMP","","","femur","","1","table","","unnumbered specimen","UNKNOWN","species","57270","misspelling of, obsolete variant of","Ornithomimus edmontonicus","species","63438","","","34423"
"18618","spm","N","","0","","TMP","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","57270","misspelling of, obsolete variant of","Ornithomimus edmontonicus","species","63438","","","34423"
"18619","spm","N","","0","","TMP","","","fibula","","1","table","","unnumbered specimen","UNKNOWN","species","57270","misspelling of, obsolete variant of","Ornithomimus edmontonicus","species","63438","","","34423"
"18620","spm","N","","0","","AMNH 5884","","","femur","","1","table","","","UNKNOWN","species","57270","misspelling of, obsolete variant of","Ornithomimus edmontonicus","species","63438","","","34423"
"18749","spm","","650180","32681","","MNA Pl.1762","","","tibia","","1","table","","","Ornithomimus sp.","genus","38544","","Ornithomimus","genus","38544","83.5","70.6","23593"
"18956","spm","","463381","33809","","G.S.C. Cat. No. 8632","holotype","","humerus","","1","table","","","Ornithomimus n. sp. edmontonicus","species","63438","","Ornithomimus edmontonicus","species","63438","83.5","70.6","12105"
"18957","spm","","463381","33809","","G.S.C. Cat. No. 8632","holotype","","ulna","","1","table","","","Ornithomimus n. sp. edmontonicus","species","63438","","Ornithomimus edmontonicus","species","63438","83.5","70.6","12105"
"18958","spm","","463381","33809","","G.S.C. Cat. No. 8632","holotype","","radius","","1","table","","","Ornithomimus n. sp. edmontonicus","species","63438","","Ornithomimus edmontonicus","species","63438","83.5","70.6","12105"
"18959","spm","","463381","33809","","G.S.C. Cat. No. 8632","holotype","","femur","","1","table","","minimum estimate","Ornithomimus n. sp. edmontonicus","species","63438","","Ornithomimus edmontonicus","species","63438","83.5","70.6","12105"
"18960","spm","","463381","33809","","G.S.C. Cat. No. 8632","holotype","","tibia","","1","table","","","Ornithomimus n. sp. edmontonicus","species","63438","","Ornithomimus edmontonicus","species","63438","83.5","70.6","12105"
"18961","spm","","467037","0","","","holotype","","femur","","1","table","","","Struthiomimus n. sp. brevetertius","species","57273","subjective synonym of","Ornithomimus edmontonicus","species","63438","83.5","70.6","12105"
"18962","spm","","467037","0","","","holotype","","tibia","","1","table","","","Struthiomimus n. sp. brevetertius","species","57273","subjective synonym of","Ornithomimus edmontonicus","species","63438","83.5","70.6","12105"
"80513","spm","","467017","0","","ROM 840","","","skull","","1","table","","","Struthiomimus n. sp. samueli","species","57271","subjective synonym of","Ornithomimus edmontonicus","species","63438","83.5","70.6","10409"
"80514","spm","","467017","0","","ROM 840","","","scapula","","1","table","","","Struthiomimus n. sp. samueli","species","57271","subjective synonym of","Ornithomimus edmontonicus","species","63438","83.5","70.6","10409"
"80515","spm","","467017","0","","ROM 840","","","humerus","","1","table","","","Struthiomimus n. sp. samueli","species","57271","subjective synonym of","Ornithomimus edmontonicus","species","63438","83.5","70.6","10409"
"80516","spm","","467017","0","","ROM 840","","","radius","","1","table","","","Struthiomimus n. sp. samueli","species","57271","subjective synonym of","Ornithomimus edmontonicus","species","63438","83.5","70.6","10409"
"80517","spm","","467017","0","","ROM 840","","","ulna","","1","table","","","Struthiomimus n. sp. samueli","species","57271","subjective synonym of","Ornithomimus edmontonicus","species","63438","83.5","70.6","10409"
