"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18916","spm","","408756","0","","YPM 1876","holotype","","humerus","","1","text","","","Laosaurus n. sp. altus","species","52882","recombined as","Dryosaurus altus","species","52882","157.3","145","7803"
"18917","spm","","408756","0","","YPM 1876","holotype","","radius","","1","text","","","Laosaurus n. sp. altus","species","52882","recombined as","Dryosaurus altus","species","52882","157.3","145","7803"
"18918","spm","","408756","0","","YPM 1876","holotype","","tibia","","1","text","","said by Horner and Weishampel 1988 to be 400 mm","Laosaurus n. sp. altus","species","52882","recombined as","Dryosaurus altus","species","52882","157.3","145","7803"
"18919","spm","","408756","0","","YPM 1876","holotype","","femur","","1","text","","minimum width of shaft\r\noriginal length measurement of Marsh 1878 was 360 mm","Laosaurus n. sp. altus","species","52882","recombined as","Dryosaurus altus","species","52882","157.3","145","32089"
"55863","spm","N","","0","","AM 834","","","femur","","1","table","","minimum width of shaft","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","32089"
"55864","spm","N","","0","","CM 1949","","","femur","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","32089"
"86545","spm","","479357","0","","CM 3392","","right","humerus","","1","","","","Dryosaurus altus","species","54253","","Dryosaurus altus","species","52882","150.8","145","9750"
"86546","spm","","479358","19016","","CM 11340","","right","humerus","","1","table","","","Dryosaurus altus","species","54253","","Dryosaurus altus","species","52882","150.8","145","9750"
"86547","spm","N","","0","","YPM 1876","","right","humerus","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86548","spm","N","","0","","AMNH 834","","left","humerus","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86549","spm","N","","0","","YPM 1876","","right","radius","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86550","spm","N","","0","","YPM 1876","","left","ulna","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86551","spm","N","","0","","YPM 1876","","right","ulna","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86552","spm","N","","0","","CM 1949","","right","femur","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86553","spm","N","","0","","YPM 1876","","right","femur","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86554","spm","N","","0","","AMNH 834","","right","femur","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86555","spm","N","","0","","CM 1949","","right","tibia","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86556","spm","N","","0","","YPM 1876","","left","tibia","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86557","spm","N","","0","","YPM 1876","","right","tibia","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86558","spm","N","","0","","YPM 1876","","left","fibula","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
"86559","spm","N","","0","","YPM 1876","","right","fibula","","1","table","","","UNKNOWN","species","54253","recombined as","Dryosaurus altus","species","52882","","","9750"
