"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18646","spm","N","","0","","TMP 81.12.1","","","femur","","1","table","","said to be 1284 mm by Erickson et al. 2004","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","34423"
"18647","spm","N","","0","","TMP 81.12.1","","","tibia","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","34423"
"18648","spm","N","","0","","TMP 81.12.1","","","fibula","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","34423"
"18649","spm","","487166","0","","CM 9780 (AMNH 5027)","","","femur","","1","table","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","34423"
"18650","spm","","487166","0","","CM 9780 (AMNH 5027)","","","tibia","","1","table","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","34423"
"18651","spm","","487166","0","","CM 9780 (AMNH 5027)","","","fibula","","1","table","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","34423"
"18836","spm","","487593","0","","Amer. Mus. No. 973","holotype","left","tibia","","1","table","","originally reported as 1118 mm; figure revised by Osborn 1906","n. gen. Tyrannosaurus n. sp. rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","9259"
"18837","spm","","487593","0","","Amer. Mus. No. 973","holotype","","scapula","","1","text","","","n. gen. Tyrannosaurus n. sp. rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","17198"
"18838","spm","","487593","0","","Amer. Mus. No. 973","holotype","","femur","","1","text","","width is mid-diameter","n. gen. Tyrannosaurus n. sp. rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","17198"
"18991","spm","","577481","18022","","LACM 23845","","","ulna","","1","text","","","Albertosaurus n. sp. megagracilis","species","67649","subjective synonym of","Tyrannosaurus rex","species","54833","72.1","66","17469"
"19018","spm","N","","0","","FMNH PR2081","","both","femur","","1","table","","see also Erickson and Makovicky 2004","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","41291"
"61867","spm","N","","0","","FMNH PR2081","","","skull","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","41291"
"61868","spm","N","","0","","FMNH PR2081","","both","scapulacoracoid","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","41291"
"61869","spm","N","","0","","FMNH PR2081","","right","humerus","","1","table","","midshaft width","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","41291"
"61870","spm","N","","0","","FMNH PR2081","","right","radius","","1","table","","midshaft width","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","41291"
"61871","spm","N","","0","","FMNH PR2081","","right","ulna","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","41291"
"61872","spm","N","","0","","FMNH PR2081","","left","tibia","","1","table","","length without tarsus and mediolateral midshaft width","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","41291"
"61873","spm","N","","0","","FMNH PR2081","","both","fibula","","1","table","","AP midshaft width","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","41291"
"80396","spm","N","","0","","NMC 9380 =AMNH 973","holotype","","scapula","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","9259"
"80397","spm","N","","0","","NMC 9380 =AMNH 973","holotype","","humerus","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","9259"
"80398","spm","N","","0","","NMC 9380 =AMNH 973","holotype","","femur","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","9259"
"80399","spm","N","","0","","NMC 9380 =AMNH 973","holotype","","tibia","","1","table","","","UNKNOWN","species","54833","obsolete variant of","Tyrannosaurus rex","species","54833","","","9259"
"80400","spm","","487166","0","","AMNH 5027","","","skull","","1","text","","","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","72.1","66","9259"
