"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18985","spm","","475160","0","","HMV dy VI","","","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","7404"
"18986","spm","","475160","0","","HMV dy VI","","","tibia","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","7404"
"86542","spm","","475160","0","","UT 1495/14","","","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","12770"
"86560","spm","","475160","0","","HMN dy I","","left","humerus","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86561","spm","","475160","0","","UT 1495/22","","left","humerus","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86562","spm","","475160","0","","UT 1495/23","","right","humerus","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86563","spm","","475160","0","","UT 1495/24","","left","humerus","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86564","spm","","475160","0","","HMN dy I","","left","radius","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86565","spm","","475160","0","","HMN dy I","","left","ulna","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86566","spm","","475160","0","","UT 1495/22","","left","ulna","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86567","spm","","475160","0","","UT 1495/23","","right","ulna","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86568","spm","","475160","0","","HMN WJ 945","","left","tibia","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86569","spm","","475160","0","","HMN WJ 9027","","left","tibia","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86570","spm","","475160","0","","HMN dy 36","","right","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86571","spm","","475160","0","","HMN dy I","","left","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86572","spm","","475160","0","","UT 1523/15","","left","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86573","spm","","475160","0","","UT 1495/14","","left","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86574","spm","","475160","0","","HMN dy 37","","left","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86575","spm","","475160","0","","UT 1523/21","","","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86576","spm","","475160","0","","UT 1523/17","","","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
"86577","spm","","475160","0","","HMN dy V","","right","femur","","1","table","","","n. gen. Dysalotosaurus n. sp. lettowvorbecki","species","56514","","Dysalotosaurus lettowvorbecki","species","56514","155.7","150.8","9750"
