"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"83997","spm","","479548","0","","SMNS 12667","holotype","left","scapula","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"83998","spm","","479548","0","","SMNS 12668","paratype","left","scapula","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"83999","spm","","479548","0","","SMNS 12668","paratype","right","scapula","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"84000","spm","","479548","0","","SMNS 12667","holotype","left","humerus","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"84001","spm","","479548","0","","SMNS 12668","paratype","left","humerus","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"84002","spm","","479548","0","","SMNS 12667","holotype","right","radius","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"84003","spm","","479548","0","","SMNS 12668","paratype","right","ulna","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"84004","spm","","479548","0","","SMNS 12667","holotype","left","femur","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"84005","spm","","479548","0","","SMNS 12667","holotype","right","femur","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"84006","spm","","479548","0","","SMNS 12667","holotype","","tibia","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
"84007","spm","","479548","0","","SMNS 12667","holotype","right","fibula","","1","table","","","Thecodontosaurus n. sp. diagnosticus","species","64389","subjective synonym of","Efraasia minor","species","54997","215.56","212","17407"
