"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18832","spm","","219974","12665","","Amer. Mus. Coll. No. 309","","","tibia","","1","table","","","Apatosaurus excelsus","species","56547","recombined as","Brontosaurus excelsus","species","52982","157.3","145","13099"
"18833","spm","","219974","12665","","Amer. Mus. Coll. No. 309","","","fibula","","1","table","","","Apatosaurus excelsus","species","56547","recombined as","Brontosaurus excelsus","species","52982","157.3","145","13099"
"18834","spm","","219974","12665","","Amer. Mus. Coll. No. 353","","","femur","","1","table","","least circumference","Apatosaurus excelsus","species","56547","recombined as","Brontosaurus excelsus","species","52982","157.3","145","13099"
"18835","spm","","219974","12665","","Amer. Mus. Coll. No. 353","","","tibia","","1","table","","least circumference","Apatosaurus excelsus","species","56547","recombined as","Brontosaurus excelsus","species","52982","157.3","145","13099"
"18938","spm","","520505","31051","","Carn. Mus. No. 563","","","humerus","","1","table","","","Brontosaurus parvus","species","319100","","Brontosaurus parvus","species","66540","157.3","145","14349"
"18939","spm","","520505","31051","","Carn. Mus. No. 563","","","radius","","1","table","","width is at middle of shaft","Brontosaurus parvus","species","319100","","Brontosaurus parvus","species","66540","157.3","145","14349"
"18940","spm","","520505","31051","","Carn. Mus. No. 563","","","ulna","","1","table","","","Brontosaurus parvus","species","319100","","Brontosaurus parvus","species","66540","157.3","145","14349"
"83670","spm","","516483","13279","","","holotype","","femur","","1","","","","Eobrontosaurus yahnahpin","species","66835","recombined as","Brontosaurus yahnahpin","species","66834","157.3","145","14073"
"83671","spm","","516483","13279","","","holotype","","tibia","","1","","","","Eobrontosaurus yahnahpin","species","66835","recombined as","Brontosaurus yahnahpin","species","66834","157.3","145","14073"
"97680","spm","","384369","0","","FMNH 7163","","","femur","","1","table","","midshaft breadth","Brontosaurus excelsus","species","52982","","Brontosaurus excelsus","species","52982","157.3","145","9789"
