"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56324","spm","","908663","0","","PVSJ 560","holotype","","skull","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"56325","spm","","908663","0","","PVSJ 562","","","humerus","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"56326","spm","","908663","0","","PVSJ 562","","","radius","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"56327","spm","","908663","0","","PVSJ 562","","","femur","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"56328","spm","","908663","0","","PVSJ 562","","","tibia","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"78434","spm","","908663","0","","PVSJ 562","","","scapula","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"78435","spm","","908663","0","","PVSJ 562","","","coracoid","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"78436","spm","","908663","0","","PVSJ 562","","","ulna","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"78437","spm","","908663","0","","PVSJ 560","","","femur","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"78438","spm","","908663","0","","PVSJ 560","holotype","","tibia","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
"78439","spm","","908663","0","","PVSJ 560","holotype","","fibula","","1","table","","","n. gen. Eodromaeus n. sp. murphi","species","174879","","Eodromaeus murphi","species","174879","237","228","34767"
