"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56046","spm","","512989","18092","","DFMMh/FV 291.9","","","femur","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56047","spm","","512989","18092","","DFMMh/FV 48","","","femur","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56048","spm","","512989","18092","","DFMMh/FV 177","","","femur","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56049","spm","","512989","18092","","DFMMh/FV 495.9","","","femur","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56050","spm","","512989","18092","","DFMMh/FV 153","","","femur","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56051","spm","","512989","18092","","DFMMh/FV 415","","","femur","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56052","spm","","512989","18092","","DFMMh/FV 11","","","humerus","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56053","spm","","512989","18092","","DFMMh/FV 372","","","humerus","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56054","spm","","512989","18092","","DFMMh/FV 009","","","tibia","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56055","spm","","512989","18092","","DFMMh/FV 154","","","tibia","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56056","spm","","512989","18092","","DFMMh/FV 001","","","tibia","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56057","spm","","512989","18092","","DFMMh/FV 475","","","tibia","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56058","spm","","512989","18092","","DFMMh/FV 495.5","","","tibia","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56059","spm","","512989","18092","","DFMMh/FV 468","","","tibia","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
"56060","spm","","512989","18092","","DFMMh/FV","","","fibula","","1","table","","","n. gen. Europasaurus n. sp. holgeri","species","81697","","Europasaurus holgeri","species","81697","157.3","152.1","17682"
