"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56094","spm","N","","0","","","","","femur","","1","table","","measurement ""from Reig"": possibly the type","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","12492"
"56095","spm","N","","0","","","","","tibia","","1","table","","measurement ""from Reig"": possibly the type","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","12492"
"56099","spm","N","","0","","","","","femur","","1","table","","measurement ""from Reig"": possibly the type","UNKNOWN","species","58914","subjective synonym of","Herrerasaurus ischigualastensis","species","55000","","","12492"
"56100","spm","N","","0","","","","","tibia","","1","table","","measurement ""from Reig"": possibly the type","UNKNOWN","species","58914","subjective synonym of","Herrerasaurus ischigualastensis","species","55000","","","12492"
"56329","spm","N","","0","","PVSJ 373","","","skull","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","34767"
"56330","spm","N","","0","","PVSJ 373","","","humerus","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13757"
"56331","spm","N","","0","","PVSJ 373","","","radius","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13757"
"56332","spm","N","","0","","PVSJ 373","","","femur","","1","table","","said to be 350 mm by Sereno 1994","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","34767"
"56333","spm","N","","0","","PVSJ 373","","","tibia","","1","table","","said to be 320 mm by Sereno 1994","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","34767"
"61825","spm","","519917","0","","PVSJ 53","","right","scapula","","1","table","","","n. gen. Frenguellisaurus n. sp. ischigualastensis","species","66349","subjective synonym of","Herrerasaurus ischigualastensis","species","55000","228","208.5","13757"
"61826","spm","N","","0","","PVSJ 53","","right","ulna","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13757"
"61827","spm","N","","0","","PVSJ 407","","","humerus","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13757"
"61828","spm","N","","0","","PVSJ 407","","","ulna","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13757"
"78612","spm","","256435","0","","PV 55407","","","skull","","1","text","","","Herrerasaurus ischigualastensis","species","55000","","Herrerasaurus ischigualastensis","species","55000","237","228","12426"
"78614","spm","","519917","0","","PVSJ 53","","right","scapula","","1","table","","","n. gen. Frenguellisaurus n. sp. ischigualastensis","species","66349","subjective synonym of","Herrerasaurus ischigualastensis","species","55000","228","208.5","13757"
"78618","spm","N","","0","","PVSJ 373","","","fibula","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13757"
"78619","spm","N","","0","","PVSJ 407","","","radius","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13757"
"78622","spm","N","","0","","PVL 2566","","right","femur","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13755"
"78623","spm","N","","0","","PVL 2566","","right","tibia","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13755"
"78624","spm","N","","0","","PVL 2566","","right","fibula","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13755"
"78625","spm","N","","0","","MACN 18.060","","right","femur","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13755"
"78626","spm","N","","0","","MACN 18.060","","right","tibia","","1","table","","","UNKNOWN","species","55000","obsolete variant of","Herrerasaurus ischigualastensis","species","55000","","","13755"
