"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"55868","spm","","395215","0","","FPDM-V9712203","holotype","","humerus","","1","table","","","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55869","spm","","395215","0","","FPDM-V97081115","","","humerus","","1","table","","","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55870","spm","","395215","0","","FPDM-V980805018","","right","femur","","1","table","","","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55871","spm","","395215","0","","FPDM-V970813046","","right","femur","","1","table","","transverse shaft width","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55872","spm","","395215","0","","FPDM-V970821039","","right","femur","","1","table","","transverse shaft width","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55873","spm","","395215","0","","FPDM-V98072302","","left","femur","","1","table","","transverse shaft width","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55874","spm","","395215","0","","FPDM-V97081330","","right","femur","","1","table","","no width given","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55875","spm","","395215","0","","FPDM-V97122BNA3","","right","femur","","1","table","","transverse shaft width","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55876","spm","","395215","0","","FPDM-V97081201","","right","femur","","1","table","","no width given","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55877","spm","","395215","0","","FPDM-V97122BNA12","","right","femur","","1","table","","transverse shaft width","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
"55878","spm","","395215","0","","FPDM-V72122","","right","femur","","1","table","","transverse shaft width","n. gen. Fukuiraptor n. sp. kitadaniensis","species","66357","","Fukuiraptor kitadaniensis","species","66357","129.4","125","24532"
