"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18612","spm","N","","0","","G.I.DPS 100/11","","","femur","","1","table","","said to be 665 mm by Osmolska et al. 1972","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","34423"
"18613","spm","N","","0","","G.I.DPS 100/11","","","tibia","","1","table","","said to be 740 mm by Osmolska et al. 1972","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","34423"
"18614","spm","N","","0","","","","","femur","","1","table","","unnumbered specimen","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","34423"
"18615","spm","N","","0","","","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","34423"
"18616","spm","N","","0","","","","","fibula","","1","table","","unnumbered specimen","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","34423"
"61806","spm","N","","0","","G.I.No.DPS 100/10","holotype","","skull","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61807","spm","N","","0","","Z.Pal.No.Mg.D-1/1","","","skull","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61808","spm","N","","0","","G.I.No.DPS 100/11","","","skull","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61809","spm","N","","0","","G.I.No.DPS 100/11","","","scapula","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61810","spm","N","","0","","G.I.No.DPS 100/11","","","humerus","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61811","spm","N","","0","","Z.Pal.No.Mg.D-1/94","","","ulna","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61812","spm","N","","0","","Z.Pal.No.Mg.D-1/94","","","radius","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61813","spm","N","","0","","G.I.No.DPS 100/11","","","ulna","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61814","spm","N","","0","","G.I.No.DPS 100/11","","","radius","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61815","spm","N","","0","","G.I.No.DPS 100/10","","","femur","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61816","spm","N","","0","","G.I.No.DPS 100/10","","","tibia","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61817","spm","N","","0","","G.I.No.DPS 100/10","","","fibula","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61818","spm","N","","0","","Z.Pal.No.Mg.D-1/94","","","femur","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61819","spm","N","","0","","Z.Pal.No.Mg.D-1/94","","","tibia","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61820","spm","N","","0","","Z.Pal.No.Mg.D-1/94","","","fibula","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61821","spm","N","","0","","Z.Pal.No.Mg.D-1/1","","","femur","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61822","spm","N","","0","","Z.Pal.No.Mg.D-1/1","","","tibia","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61823","spm","N","","0","","Z.Pal.No.Mg.D-1/1","","","fibula","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"61824","spm","N","","0","","Z.Pal.No.Mg.D-1/8","","","femur","","1","table","","","UNKNOWN","species","57265","obsolete variant of","Gallimimus bullatus","species","57265","","","9906"
"80518","spm","","404787","10622","","IGM 100/11","holotype","","skull","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80519","spm","","404787","10622","","IGM 100/11","holotype","","scapula","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80520","spm","","404787","10622","","IGM 100/11","holotype","","humerus","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80521","spm","","404787","10622","","IGM 100/11","holotype","","radius","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80522","spm","","404787","10622","","IGM 100/11","holotype","","ulna","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80523","spm","","404787","10622","","IGM 100/11","holotype","","femur","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80524","spm","","404787","10622","","IGM 100/11","holotype","","tibiotarsus","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80525","spm","","404787","10622","","IGM 100/11","holotype","","fibula","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80526","spm","","404787","10622","","IGM 100/10","paratype","","skull","","1","table","","juvenile","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80527","spm","","404787","10622","","IGM 100/10","paratype","","femur","","1","table","","juvenile","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80528","spm","","404787","10622","","IGM 100/10","paratype","","tibia","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80529","spm","","404787","10622","","IGM 100/10","paratype","","fibula","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80530","spm","","404787","10622","","ZPAL MgD-I/1","paratype","","skull","","1","table","","juvenile","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80531","spm","","404787","10622","","ZPAL MgD-I/1","paratype","","femur","","1","table","","juvenile","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80532","spm","","404787","10622","","ZPAL MgD-I/1","paratype","","tibiotarsus","","1","table","","juvenile","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80533","spm","","404787","10622","","ZPAL MgD-I/1","paratype","","fibula","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80534","spm","","404787","10622","","ZPAL MgD-I/8","paratype","","femur","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80535","spm","","404787","10622","","ZPAL MgD-I/8","paratype","","tibiotarsus","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80536","spm","","404787","10622","","ZPAL MgD-I/8","paratype","","fibula","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80537","spm","","404787","10622","","ZPAL MgD-I/32","paratype","","femur","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80538","spm","","404787","10622","","ZPAL MgD-I/32","paratype","","tibiotarsus","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
"80539","spm","","404787","10622","","ZPAL MgD-I/32","paratype","","fibula","","1","table","","","Gallimimus bullatus","species","57265","","Gallimimus bullatus","species","57265","83.6","66","9906"
