"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"71252","spm","","540448","0","","AMNH 6341","","","scapula","","1","","","width = maximum anteroposterior width in midshaft","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","150.8","145","19507"
"71253","spm","","540448","0","","AMNH 6341","","","coracoid","","1","","","","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","150.8","145","19507"
"71257","spm","","540448","0","","AMNH 6341","","","humerus","","1","","","width = maximum anteroposterior width in midshaft","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","150.8","145","19507"
"71258","spm","","540448","0","","CM 21774","","","ulna","","1","","","","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","150.8","145","19507"
"71259","spm","","540448","0","","CM 21774","","","radius","","1","","","width = maximum anteroposterior width in midshaft","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","150.8","145","19507"
"71267","spm","","540448","0","","AMNH 6341","","","femur","","1","","","circumf. = minimal shaft","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","150.8","145","19507"
"71268","spm","","540448","0","","AMNH 6341","","","tibia","","1","","","circumf. = minimal shaft","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","150.8","145","19507"
"71269","spm","","540448","0","","AMNH 6341","","","fibula","","1","","","circumf. = minimal shaft","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","150.8","145","19507"
"83668","spm","","491455","0","","SDSM 25210","","","femur","","1","","","","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","157.3","145","12250"
"83669","spm","","491455","0","","SDSM 25210","","","tibia","","1","","","","Barosaurus lentus","species","54166","","Barosaurus lentus","species","54166","157.3","145","12250"
