"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18675","spm","","475161","30612","","HMN SII","holotype","","femur","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n2090 mm according to Paul 1988\r\ncircumference based on Paul 1988","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18676","spm","","475161","30612","","HMN SII","holotype","","tibia","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18677","spm","","475161","30612","","HMN SII","holotype","","humerus","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n2130 mm according to Paul 1988","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18678","spm","","475161","30612","","HMN SII","holotype","","radius","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n1240 mm according to Paul 1988","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18679","spm","","475161","30612","","HMN SII","holotype","","ulna","","1","table","","specimen number not given, inferred from data of Paul 1988\r\nnot measured by Paul 1988","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18680","spm","","475161","30612","","HMN SII","holotype","","pubis","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n1150 mm according to Paul 1988","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"18681","spm","","475161","30612","","HMN SII","holotype","","scapula","","1","table","","specimen number not given, inferred from data of Paul 1988\r\n1929 mm according to Paul 1988","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","34472"
"19039","spm","","475161","30612","","HMN SII","holotype","","ilium","","1","table","","","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","14554"
"19040","spm","","475161","30612","","HMN SII","holotype","","pubis","","1","table","","","Brachiosaurus n. sp. brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","155.7","145","14554"
"19041","spm","","483495","0","","HMN XV2","","","scapula","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19042","spm","","483495","0","","HMN XV2","","","humerus","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19043","spm","","483495","0","","HMN XV2","","","femur","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19044","spm","","483495","0","","HMN XV2","","","fibula","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19045","spm","","475162","0","","HMN Y","","","scapula","","1","table","","","Brachiosaurus n. sp. fraasi","species","64502","subjective synonym of","Giraffatitan brancai","species","64501","155.7","150.8","14554"
"19046","spm","","475162","0","","HMN Y","","","humerus","","1","table","","","Brachiosaurus n. sp. fraasi","species","64502","subjective synonym of","Giraffatitan brancai","species","64501","155.7","150.8","14554"
"19047","spm","","483495","0","","HMN XV1","","","femur","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19048","spm","","483438","0","","HMN KI24","","","scapula","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19049","spm","","483438","0","","HMN KI24","","","femur","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19050","spm","","483438","0","","HMN KI24","","","tibia","","1","table","","tibia-astragalus","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19051","spm","","483438","0","","HMN KI24","","","fibula","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
"19052","spm","","475067","0","","HMN D","","","humerus","","1","table","","","Brachiosaurus brancai","species","64501","recombined as","Giraffatitan brancai","species","64501","152.1","145","14554"
