"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18627","spm","N","","0","","TMP 91.36.500","","","femur","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18628","spm","N","","0","","TMP 91.36.500","","","tibia","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18629","spm","N","","0","","TMP 91.36.500","","","fibula","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18630","spm","N","","0","","TMP 81.10.01","","","femur","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18631","spm","N","","0","","TMP 81.10.01","","","tibia","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18632","spm","N","","0","","TMP 81.10.01","","","fibula","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18633","spm","N","","0","","RTMP 94.12.602 (?)","","","femur","","1","table","","unnumbered specimen, possibly the same as RTMP 94.12.602 (said to be 916 mm by Erickson et al. 2004)","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18634","spm","N","","0","","TMP","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18635","spm","N","","0","","TMP","","","fibula","","1","table","","unnumbered specimen","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18636","spm","N","","0","","TMP","","","femur","","1","table","","unnumbered specimen","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18637","spm","N","","0","","TMP","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18638","spm","N","","0","","TMP","","","fibula","","1","table","","unnumbered specimen","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18639","spm","N","","0","","FMNH PR308","","","tibia","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","34423"
"18944","spm","","139254","13634","","NMC 2120","holotype","","humerus","","1","table","","12.75 inches","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","species","53194","83.5","70.6","17547"
"18945","spm","","139254","13634","","NMC 2120","holotype","","ulna","","1","table","","6.5 inches","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","species","53194","83.5","70.6","17547"
"18946","spm","","139254","13634","","NMC 2120","holotype","","radius","","1","table","","6.125 inches","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","species","53194","83.5","70.6","17547"
"18947","spm","","139254","13634","","NMC 2120","holotype","","femur","","1","table","","40.25 inches","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","species","53194","83.5","70.6","17547"
"18948","spm","","139254","13634","","NMC 2120","holotype","","tibia","","1","table","","39 inches","n. gen. Gorgosaurus n. sp. libratus","species","53194","","Gorgosaurus libratus","species","53194","83.5","70.6","17547"
"80273","spm","N","","0","","CMN 2120","holotype","","skull","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80274","spm","N","","0","","CMN 2120","holotype","","scapulacoracoid","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80275","spm","N","","0","","CMN 2120","holotype","","humerus","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80276","spm","N","","0","","CMN 2120","holotype","","ulna","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80277","spm","N","","0","","CMN 2120","holotype","","radius","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80278","spm","N","","0","","CMN 2120","holotype","","femur","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80279","spm","N","","0","","CMN 2120","holotype","","tibia ","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80280","spm","N","","0","","CMN 2120","holotype","","fibula","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80281","spm","N","","0","","CMN 2120","holotype","","coracoid","","1","table","","","UNKNOWN","species","53194","obsolete variant of","Gorgosaurus libratus","species","53194","","","17547"
"80282","spm","","139242","24752","","AMNH 5664","holotype","","skull","","1","","","","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","species","53194","83.5","70.6","14741"
"80283","spm","","139242","24752","","AMNH 5664","holotype","","scapulocodacoid","","1","","","","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","species","53194","83.5","70.6","14741"
"80284","spm","","139242","24752","","AMNH 5664","holotype","","humerus","","1","","","","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","species","53194","83.5","70.6","14741"
"80285","spm","","139242","24752","","AMNH 5664","holotype","","radi","","1","","","","Gorgosaurus n. sp. sternbergi","species","63900","subjective synonym of","Gorgosaurus libratus","species","53194","83.5","70.6","14741"
