"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18941","spm","","467014","0","","","holotype","","humerus","","1","table","","minimum girth below radial crest","Kritosaurus n. sp. incurvimanus","species","63253","misspelling of, subjective synonym of","Gryposaurus notabilis","species","63251","83.5","70.6","14121"
"18942","spm","","467014","0","","","holotype","","ulna","","1","table","","girth at midlength","Kritosaurus n. sp. incurvimanus","species","63253","misspelling of, subjective synonym of","Gryposaurus notabilis","species","63251","83.5","70.6","14121"
"18943","spm","","467014","0","","","holotype","","radius","","1","table","","minimum girth","Kritosaurus n. sp. incurvimanus","species","63253","misspelling of, subjective synonym of","Gryposaurus notabilis","species","63251","83.5","70.6","14121"
"19080","spm","","280198","28657","","PU 16970","","both","fibula","","1","text","","","Gryposaurus sp.","genus","53014","","Gryposaurus","genus","53014","83.5","70.6","7398"
"19081","spm","","280197","0","","PU 16969","","left","ulna","","1","text","","","Hadrosaurus notabilis","species","95941","recombined as","Gryposaurus notabilis","species","63251","83.5","70.6","7398"
"88487","spm","","702980","0","","RAM 6797","holotype","","skull","","1","table","","","Gryposaurus n. sp. monumentensis","species","109448","","Gryposaurus monumentensis","species","109448","83.5","70.6","25465"
"88488","spm","N","","0","","RTMP 80.22.1","","","skull","","1","table","","","UNKNOWN","species","64298","subjective synonym of","Gryposaurus notabilis","species","63251","","","25465"
"88489","spm","","564551","17801","","ROM 873","","","skull","","1","table","","","Gryposaurus notabilis","species","63251","","Gryposaurus notabilis","species","63251","83.5","70.6","25465"
"88490","spm","N","","0","","CMN 2278","","","skull","","1","table","","","UNKNOWN","species","63251","obsolete variant of","Gryposaurus notabilis","species","63251","","","25465"
"88491","spm","N","","0","","UMNH VP 16667","","","skull","","1","table","","","UNKNOWN","genus","53014","obsolete variant of","Gryposaurus","genus","53014","","","25465"
"88492","spm","","474742","0","","AMNH 5465","holotype","","scapula","","1","text","","","Gryposaurus latidens","species","57630","","Gryposaurus latidens","species","57630","85.8","70.6","42788"
"88493","spm","","474742","0","","AMNH 5465","holotype","","radius","","1","text","","","Gryposaurus latidens","species","57630","","Gryposaurus latidens","species","57630","85.8","70.6","42788"
