"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18740","spm","","408082","0","","USNM 4934","holotype","right","scapula","","1","table","","","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18741","spm","","408082","0","","USNM 4934","holotype","both","humerus","","1","table","","mean of left and right","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18742","spm","","408082","0","","USNM 4934","holotype","right","ulna","","1","table","","","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18743","spm","","408082","0","","USNM 4934","holotype","right","radius","","1","table","","","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18744","spm","","408082","0","","USNM 4934","holotype","right","femur","","1","table","","","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18745","spm","","408082","0","","USNM 4934","holotype","right","tibia","","1","table","","","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18746","spm","","408082","0","","USNM 4934","holotype","right","fibula","","1","table","","","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18747","spm","","408082","0","","USNM 4929","","left","scapula","","1","table","","","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18748","spm","","408082","0","","USNM 4929","","both","humerus","","1","table","","mean of left and right","Stegosaurus n. sp. stenops","species","56491","","Stegosaurus stenops","species","56491","157.3","145","12769"
"18911","spm","","408856","0","","YPM 1853","holotype","","humerus","","1","table","","","Stegosaurus n. sp. ungulatus","species","52985","","Stegosaurus ungulatus","species","52985","157.3","145","7813"
"18912","spm","","408856","0","","YPM 1853","holotype","","tibia","","1","table","","includes astragalus","Stegosaurus n. sp. ungulatus","species","52985","","Stegosaurus ungulatus","species","52985","157.3","145","7813"
