"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18989","spm","","402859","0","","T6001","holotype","left","femur","","1","table","","""smallest diameter""","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"18990","spm","","402859","0","","T6001","holotype","left","tibia","","1","table","","""smallest diameter""","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79283","spm","","402859","0","","T6001","holotype","","skull","","1","table","","""estimated complete length"" and ""occipital breadth""","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79284","spm","","402859","0","","T6001","holotype","right","scapula","","1","table","","""length"" and greatest proximal breadth","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79285","spm","","402859","0","","T6001","holotype","right","coracoid","","1","table","","dorsoventrallength and greatest anteroposterior breadth","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79286","spm","","402859","0","","T6002","","right","scapula","","1","table","","""length"" and greatest proximal breadth","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79287","spm","","402859","0","","T6001","","both","humerus","","1","table","","""smallest diameter""","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79288","spm","","402859","0","","T6001","","both","ulna","","1","table","","","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79289","spm","","402859","0","","T6001","","both","radius","","1","table","","","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79290","spm","","402859","0","","T6002","","right","humerus","","1","table","","","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79291","spm","","402859","0","","T6002","","left","ulna","","1","table","","""smallest diameter""","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79292","spm","","402859","0","","T6001","holotype","left","fibula","","1","table","","""smallest diameter""","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79293","spm","","402859","0","","T6002","","left","femur","","1","table","","""smallest diameter""","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79294","spm","","402859","0","","T6002","","both","tibia","","1","table","","""smallest diameter""","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
"79295","spm","","402859","0","","T6002","","left","fibula","","1","table","","","Yandusaurus n. sp. multidens","species","57224","recombined as","Hexinlusaurus multidens","species","57224","170.3","163.5","15058"
