"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"83957","spm","","637751","19976","","ISI R257/36","holotype","left","scapula","","1","table","","","n. gen. Lamplughsaura n. sp. dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83958","spm","","637751","19976","","ISI R257/37","holotype","right","scapula","","1","table","","","n. gen. Lamplughsaura n. sp. dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83959","spm","","637751","19976","","ISI R257/39","holotype","right","humerus","","1","table","","","n. gen. Lamplughsaura n. sp. dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83960","spm","","637751","19976","","ISI R257/41","holotype","left","ulna","","1","table","","","n. gen. Lamplughsaura n. sp. dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83961","spm","","637751","19976","","ISI R257/44","holotype","right","femur","","1","table","","","n. gen. Lamplughsaura n. sp. dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83962","spm","","637751","19976","","ISI R257/46","holotype","left","tibia","","1","table","","","n. gen. Lamplughsaura n. sp. dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83963","spm","","637751","19976","","ISI R257/47","holotype","left","fibula","","1","table","","","n. gen. Lamplughsaura n. sp. dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83965","spm","","706065","0","","ISI R261/1","paratype","right","humerus","","1","table","","","Lamplughsaura dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83966","spm","","706065","0","","ISI R261/3","paratype","left","radius","","1","table","","","Lamplughsaura dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
"83967","spm","","706064","0","","ISI R258/28","paratype","left","femur","","1","table","","","Lamplughsaura dharmaramensis","species","110384","","Lamplughsaura dharmaramensis","species","110384","199.3","190.8","25610"
