"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18718","spm","","367440","0","","PU 18133","","","femur","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18719","spm","","367440","0","","PU 18133","","","tibia","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18720","spm","","604289","0","","NMC 8887","","","femur","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18721","spm","","604289","0","","NMC 8887","","","tibia","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18722","spm","","604289","0","","NMC 8887","","","fibula","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18723","spm","","604289","0","","NMC 8888","","","femur","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18724","spm","","604289","0","","NMC 8888","","","tibia","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18725","spm","","604289","0","","NMC 8888","","","fibula","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18726","spm","","604289","0","","NMC 8889","","","femur","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18727","spm","","604289","0","","NMC 8889","","","tibia","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"18728","spm","","604289","0","","NMC 8889","","","fibula","","1","table","","","Leptoceratops gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","9234"
"84445","spm","","606102","33993","","AMNH 5205","holotype","","scapulocoracoid","","1","table","","","n. gen. Leptoceratops n. sp. gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","18645"
"84446","spm","","606102","33993","","AMNH 5205","holotype","","humerus","","1","table","","","n. gen. Leptoceratops n. sp. gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","18645"
"84447","spm","","606102","33993","","AMNH 5205","holotype","","ulna","","1","table","","","n. gen. Leptoceratops n. sp. gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","18645"
"84448","spm","","606102","33993","","AMNH 5205","holotype","","radius","","1","table","","","n. gen. Leptoceratops n. sp. gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","18645"
"84449","spm","","606102","33993","","AMNH 5205","holotype","","tibia","","1","table","","","n. gen. Leptoceratops n. sp. gracilis","species","52827","","Leptoceratops gracilis","species","52827","72.1","66","18645"
