"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"69091","spm","","297836","13367","","BMNH RU B.23","","","skull","","1","","","","Lesothosaurus diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69092","spm","","297698","13368","","BMNH RU B.17","","","scapula","","1","","","BMNH RU B.17 is a block containing two speciments of different size;  large speciement","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69093","spm","","297698","13368","","BMNH RU B.17","","","humerus","","1","","","BMNH RU B.17 is a block containing two speciments of different size;  large speciement","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69094","spm","","297698","13368","","BMNH RU B.17","","","radius","","1","","","BMNH RU B.17 is a block containing two speciments of different size;  large speciement","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69095","spm","","297698","13368","","BMNH RU B.17","","","ulna","","1","","","BMNH RU B.17 is a block containing two speciments of different size;  large speciement","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69096","spm","","297698","13368","","BMNH RU B.17","","","femur","","1","","","BMNH RU B.17 is a block containing two speciments of different size;  large speciement","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69097","spm","","297698","13368","","BMNH RU B.17","","","tibia","","1","","","BMNH RU B.17 is a block containing two speciments of different size;  large speciement","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69098","spm","","297698","13368","","BMNH RU B.17","","","fibula","","1","","","BMNH RU B.17 is a block containing two speciments of different size;  large speciement","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69099","spm","","297698","13368","","BMNH RU B.17","","","scapula","","1","","","BMNH RU B.17 is a block containing two speciments of different size","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69100","spm","","297698","13368","","BMNH RU B.17","","","humerus","","1","","","BMNH RU B.17 is a block containing two speciments of different size","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
"69101","spm","","297698","13368","","BMNH RU B.17","","","radius","","1","","","BMNH RU B.17 is a block containing two speciments of different size","n. gen. Lesothosaurus n. sp. diagnosticus","species","57574","","Lesothosaurus diagnosticus","species","57574","201.3","190.8","7893"
