"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"88123","spm","N","","0","","LACM 17715","holotype","","coracoid","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88124","spm","N","","0","","LACM 17715","holotype","","scapula","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88125","spm","N","","0","","LACM 17715","holotype","","humerus","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88126","spm","N","","0","","LACM 17716","paratype","","humerus","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88127","spm","N","","0","","LACM 17712","paratype","","humerus","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88128","spm","N","","0","","LACM 17717","paratype","","fibula","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88129","spm","N","","0","","LACM 29303","paratype","","fibula","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88130","spm","N","","0","","LACM 17711","paratype","","tibia","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88131","spm","N","","0","","LACM 17711","paratype","","tibia","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
"88132","spm","N","","0","","LACM 17715","holotype","","femur","","1","table","","","UNKNOWN","species","238547","recombined as","Magnapaulia laticaudus","species","68200","","","41997"
