"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"81966","spm","N","","0","","FGGUB R.1220","","right","femur","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81967","spm","N","","0","","FGGUB R.1511","","left","femur","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81968","spm","N","","0","","FGGUB R.1046","","left","femur","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81969","spm","N","","0","","FGGUB R.1992","","right","femur","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81970","spm","N","","0","","MAFI Ob.3092","","left","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81971","spm","N","","0","","FGGUB R.1246","","right","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81972","spm","N","","0","","FGGUB R.1195","","left","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81973","spm","N","","0","","MAFI Ob.3089","","left","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81974","spm","N","","0","","MAFI v.13492","","right","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81975","spm","N","","0","","FGGUB R.1047","","right","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81976","spm","N","","0","","MAFI Ob.3128","","left","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81977","spm","N","","0","","FGGUB R.1048","","left","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81978","spm","N","","0","","MAFI Ob.3104","","right","humerus","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81979","spm","N","","0","","FGGUB R.1598","","left","ulna","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81980","spm","N","","0","","MAFI Ob.3099","","right","ulna","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81981","spm","N","","0","","MAFI Ob.3086a","","left","fibula","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81982","spm","N","","0","","MAFI Ob.3086b","","left","fibula","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81983","spm","N","","0","","FGGUB R.1252","","left","tibia","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81984","spm","N","","0","","MAFI Ob.4212","","left","tibia","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81985","spm","N","","0","","FGGUB R.1380","","left","tibia","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81986","spm","N","","0","","FGGUB R.1045","","right","tibia","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
"81987","spm","N","","0","","MAFI Ob.3087","","left","tibia","","1","table","","","UNKNOWN","species","64332","recombined as","Magyarosaurus dacus","species","64331","","","42574"
