"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"83654","spm","","493036","12692","","IVPP V946","","","femur","","1","table","","","Mamenchisaurus hochuanensis","species","56463","","Mamenchisaurus hochuanensis","species","56463","163.5","145","15609"
"83655","spm","","493036","12692","","IVPP V946","","","tibia","","1","table","","","Mamenchisaurus hochuanensis","species","56463","","Mamenchisaurus hochuanensis","species","56463","163.5","145","15609"
"83656","spm","","564597","0","","ZDM 0083","holotype","","humerus","","1","text","","","Mamenchisaurus n. sp. youngi","species","71838","","Mamenchisaurus youngi","species","71838","163.5","157.3","16721"
"83657","spm","","564597","0","","ZDM 0083","holotype","","radius","","1","text","","","Mamenchisaurus n. sp. youngi","species","71838","","Mamenchisaurus youngi","species","71838","163.5","157.3","16721"
"83658","spm","","564597","0","","ZDM 0083","holotype","","femur","","1","text","","","Mamenchisaurus n. sp. youngi","species","71838","","Mamenchisaurus youngi","species","71838","163.5","157.3","16721"
"83659","spm","","564597","0","","ZDM 0083","holotype","","tibia","","1","text","","","Mamenchisaurus n. sp. youngi","species","71838","","Mamenchisaurus youngi","species","71838","163.5","157.3","16721"
"83672","spm","","256216","0","","IVPP V790","holotype","","femur","","1","","","","n. gen. Mamenchisaurus n. sp. constructus","species","56460","","Mamenchisaurus constructus","species","56460","163.5","157.3","24276"
"83673","spm","","256216","0","","IVPP V790","holotype","","tibia","","1","","","","n. gen. Mamenchisaurus n. sp. constructus","species","56460","","Mamenchisaurus constructus","species","56460","163.5","157.3","24276"
"83674","spm","N","","0","","CV 00734","holotype","","femur","","1","text","","","UNKNOWN","species","56464","obsolete variant of","Mamenchisaurus jingyanensis","species","56464","","","9731"
"83675","spm","N","","0","","CV 00734","holotype","","tibia","","1","text","","","UNKNOWN","species","56464","obsolete variant of","Mamenchisaurus jingyanensis","species","56464","","","9731"
