"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"55854","spm","","256679","12154","","BMNH R.5764","holotype","","femur","","1","text","","","Iguanodon n. sp. atherfieldensis","species","64255","recombined as","Mantellisaurus atherfieldensis","species","64255","136.4","122.46","32089"
"55855","spm","","606163","23104","","IRSNB 1551","holotype","","femur","","1","text","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","32089"
"87686","spm","","606163","23104","","IRSNB 1551","paratype","right","scapula","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87687","spm","","606163","23104","","IRSNB 1551","paratype","left","scapula","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87688","spm","","606163","23104","","IRSNB 1551","paratype","right","coracoid","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87689","spm","","606163","23104","","IRSNB 1551","paratype","left","coracoid","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87690","spm","","606163","23104","","IRSNB 1551","paratype","right","humerus","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87691","spm","","606163","23104","","IRSNB 1551","paratype","left","humerus","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87692","spm","","606163","23104","","IRSNB 1551","paratype","left","radius","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87693","spm","","606163","23104","","IRSNB 1551","paratype","right","femur","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87694","spm","","606163","23104","","IRSNB 1551","paratype","left","femur","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87695","spm","","606163","23104","","IRSNB 1551","paratype","right","tibia","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87697","spm","","606163","23104","","IRSNB 1551","paratype","left","tibia","","1","table","","","n. gen. Dollodon n. sp. bampingi","species","167049","subjective synonym of","Mantellisaurus atherfieldensis","species","64255","129.4","122.46","42753"
"87732","spm","N","","0","","BMNH R5764","holotype","","skull","","1","text","","","UNKNOWN","species","104635","recombined as","Mantellisaurus atherfieldensis","species","64255","","","32089"
"87733","spm","N","","0","","BMNH R5764","holotype","","femur","","1","text","","","UNKNOWN","species","104635","recombined as","Mantellisaurus atherfieldensis","species","64255","","","32089"
