"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"79372","spm","","483691","0","","FMNH PR 2115","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79373","spm","","483691","0","","FMNH PR 2117","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79374","spm","","483691","0","","FMNH PR 2120","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79375","spm","","483691","0","","FMNH PR 2123 ","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79376","spm","","483691","0","","FMNH PR 2148 ","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79377","spm","","483691","0","","FMNH PR 2149","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79378","spm","","483691","0","","FMNH PR 2150","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79379","spm","","483691","0","","FMNH PR 2153","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79380","spm","","483691","0","","FMNH PR 2208 ","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79381","spm","","483691","0","","FMNH PR 2215","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79382","spm","","483691","0","","UA 8681","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79383","spm","","483691","0","","UA  8684","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79384","spm","","483691","0","","UA  8712","","","femur","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79385","spm","","483691","0","","FMNH  PR  2112","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79386","spm","","483691","0","","FMNH  PR  2116","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79387","spm","","483691","0","","FMNH  PR  2118","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79388","spm","","483691","0","","FMNH  PR  2121","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79389","spm","","483691","0","","FMNH PR 2214 ","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79390","spm","","483691","0","","UA 8685 ","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79391","spm","","483691","0","","FMNH  PR  2119","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79392","spm","","483691","0","","FMNH  PR  2122","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79393","spm","","483691","0","","FMNH  PR  2152 ","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79394","spm","","483691","0","","UA 8687","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79395","spm","","483691","0","","UA  8710","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
"79396","spm","","483691","0","","UA 8711","","","tibia","","1","table","","","n. gen. Masiakasaurus n. sp. knopfleri","species","56389","","Masiakasaurus knopfleri","species","56389","72.1","66","9637"
