"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"81876","spm","N","","0","","MLP-CS 1049","","right","humerus","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81877","spm","N","","0","","MLP-CS 1050","","left","humerus","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81878","spm","N","","0","","MLP-CS 1051","","right","humerus","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81879","spm","N","","0","","MLP-CS 1099","","right","humerus","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81880","spm","N","","0","","MLP-CS 1100","","left","humerus","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81881","spm","N","","0","","MLP-CS 1479","","left","humerus","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81882","spm","N","","0","","MLP-CS 1019","","right","humerus","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81883","spm","N","","0","","MLPCS 1058","","left","ulna","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81884","spm","N","","0","","MLPCS 1305","","right","ulna","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81885","spm","N","","0","","MLPCS 1306","","left","ulna","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81886","spm","N","","0","","MLPCS 1052","","left","ulna","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81887","spm","N","","0","","MLPCS 1094","","left","ulna","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81888","spm","N","","0","","MLPCS 1095","","right","ulna","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81889","spm","N","","0","","MLP-CS 1169","","right","radius","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81890","spm","N","","0","","MLP-CS 1175","","left","radius","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81891","spm","N","","0","","MLP-CS 1176","","","radius","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81892","spm","N","","0","","MLP-CS 1171","","left","radius","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81893","spm","N","","0","","MLP-CS 1101","","right","femur","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81894","spm","N","","0","","MLP-CS 1121","","left","femur","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81895","spm","N","","0","","MLP-CS 1118","","left","femur","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81896","spm","N","","0","","MCS-9","","right","femur","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81897","spm","N","","0","","MLP-CS 1480","","left","femur","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81898","spm","N","","0","","MLP-CS 1103","","right","tibia","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81899","spm","N","","0","","MCS-5/25","","right","tibia","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81900","spm","N","","0","","MCS-6","","right","tibia","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81901","spm","N","","0","","MLP-CS 1264","","left","tibia","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81902","spm","N","","0","","MLP-CS 1098","","left","fibula","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81903","spm","N","","0","","MLP-Ly 127","","left","fibula","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81904","spm","N","","0","","MCS-5/26","","right","fibula","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
"81905","spm","N","","0","","MLP-CS 1265","","","fibula","","1","table","","Midshaft mediolateral diameter","UNKNOWN","genus","64317","obsolete variant of","Neuquensaurus","genus","64317","","","42572"
