"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"69226","spm","","465795","0","","AMNH 5351","","","skull","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69227","spm","","465795","0","","AMNH 5351","","","scapula","","1","","","width = measured in the proximal end","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69228","spm","","465795","0","","AMNH 5351","","","coracoid","","1","","","width = measured in the distal end","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69229","spm","","465795","0","","AMNH 5351","","","humerus","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69230","spm","","465795","0","","AMNH 5351","","","radius","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69231","spm","","465795","0","","AMNH 5351","","","ulna","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69232","spm","","465795","0","","AMNH 3998","","","femur","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69233","spm","","465795","0","","AMNH 5351","","","femur","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69234","spm","","465795","0","","AMNH 5351","","","tibia","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69235","spm","","465795","0","","AMNH 3998","","","fibula","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
"69236","spm","","465795","0","","AMNH 5351","","","fibula","","1","","","","n. gen. Monoclonius n. sp. crassus","species","54486","","Monoclonius crassus","species","54486","83.5","70.6","15650"
