"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"80571","spm","","513606","0","","MSM P2106","holotype","","scapula","","1","","","","n. gen. Nothronychus n. sp. mckinleyi","species","66508","","Nothronychus mckinleyi","species","66508","93.5","89.3","13832"
"80572","spm","","513606","0","","MSM P2106","holotype","","humerus","","1","","","","n. gen. Nothronychus n. sp. mckinleyi","species","66508","","Nothronychus mckinleyi","species","66508","93.5","89.3","13832"
"80573","spm","","513606","0","","MSM P2106","holotype","","ulna","","1","","","","n. gen. Nothronychus n. sp. mckinleyi","species","66508","","Nothronychus mckinleyi","species","66508","93.5","89.3","13832"
"80574","spm","","513606","0","","MSM P2106","holotype","","tibia","","1","","","","n. gen. Nothronychus n. sp. mckinleyi","species","66508","","Nothronychus mckinleyi","species","66508","93.5","89.3","13832"
"80575","spm","","632008","21895","","UMNH VP 16420","holotype","","scapula","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80576","spm","","632008","21895","","UMNH VP 16420","holotype","","coracoid","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80577","spm","","632008","21895","","UMNH VP 16420","holotype","","scapula","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80578","spm","","632008","21895","","UMNH VP 16420","holotype","","coracoid","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80579","spm","","632008","21895","","UMNH VP 16420","holotype","","humerus","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80580","spm","","632008","21895","","UMNH VP 16420","holotype","","humerus","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80581","spm","","632008","21895","","UMNH VP 16420","holotype","","radius","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80582","spm","","632008","21895","","UMNH VP 16420","holotype","","radius","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80583","spm","","632008","21895","","UMNH VP 16420","holotype","","ulna","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80584","spm","","632008","21895","","UMNH VP 16420","holotype","","ulna","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80585","spm","","632008","21895","","UMNH VP 16420","holotype","","femur","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80586","spm","","632008","21895","","UMNH VP 16420","holotype","","tibia","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80587","spm","","632008","21895","","UMNH VP 16420","holotype","","fibual","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80588","spm","","632008","21895","","UMNH VP 16420","holotype","","femur","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
"80589","spm","","632008","21895","","UMNH VP 16420","holotype","","tibia","","1","table","","","Nothronychus n. sp. graffami","species","149862","","Nothronychus graffami","species","149862","99.6","89.3","30325"
