"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56298","spm","","396864","17735","","AEHM 2/845","holotype","","humerus","","1","table","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","26966"
"56299","spm","","396864","17735","","AEHM 2/845","holotype","","femur","","1","table","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","26966"
"56300","spm","","396864","17735","","AEHM 2/845","holotype","","tibia","","1","table","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","26966"
"88115","spm","","396864","17735","","AEHM 2/845","holotype","right","scapula","","1","text","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","16832"
"88116","spm","","396864","17735","","AEHM 2/845","holotype","left","coracoid","","1","text","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","16832"
"88117","spm","","396864","17735","","AEHM 2/845","holotype","left","humerus","","1","text","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","16832"
"88118","spm","","396864","17735","","AEHM 2/845","holotype","right","ulna","","1","text","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","16832"
"88119","spm","","396864","17735","","AEHM 2/845","holotype","right","radius","","1","text","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","16832"
"88120","spm","","396864","17735","","AEHM 2/845","holotype","left","femur","","1","text","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","16832"
"88121","spm","","396864","17735","","AEHM 2/845","holotype","left","fibula","","1","text","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","16832"
"88122","spm","","396864","17735","","AEHM 2/845","holotype","left","tibia","","1","text","","","n. gen. Olorotitan n. sp. arharensis","species","72095","","Olorotitan arharensis","species","72095","70.6","66","16832"
