"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"72348","spm","","387341","10492","","ZPAL MgD-I/48","holotype","left","scapula","","1","table","","width = incomplete","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72349","spm","","387341","10492","","ZPAL MgD-I/48","holotype","left","coracoid","","1","table","","","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72350","spm","","387341","10492","","ZPAL MgD-I/48","holotype","right","scapula","","1","table","","","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72351","spm","","387341","10492","","ZPAL MgD-I/48","holotype","right","coracoid","","1","table","","","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72352","spm","","387341","10492","","ZPAL MgD-I/25c","paratype","right","scapula","","1","table","","","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72353","spm","","387341","10492","","ZPAL MgD-I/25c","paratype","left","coracoid","","1","table","","","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72397","spm","","387341","10492","","ZPAL MgD-I/48","holotype","left","humerus","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72398","spm","","387341","10492","","ZPAL MgD-I/48","holotype","right","humerus","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72399","spm","","387341","10492","","ZPAL MgD-I/48","holotype","left","radius","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72400","spm","","387341","10492","","ZPAL MgD-I/48","holotype","left","ulna","","1","table","","","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72401","spm","","387341","10492","","ZPAL MgD-I/48","holotype","right","radius","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72402","spm","","387341","10492","","ZPAL MgD-I/48","holotype","right","ulna","","1","table","","","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72403","spm","","387341","10492","","ZPAL MgD-I/48","holotype","left","femur","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72404","spm","","387341","10492","","ZPAL MgD-I/48","holotype","right","femur","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72405","spm","","387341","10492","","ZPAL MgD-I/48","holotype","left","tibia","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72406","spm","","387341","10492","","ZPAL MgD-I/48","holotype","left","fibula","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72407","spm","","387341","10492","","ZPAL MgD-I/48","holotype","right","tibia","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
"72408","spm","","387341","10492","","ZPAL MgD-I/48","holotype","right","fibula","","1","table","","width = maximum anteroposterior width in midshaft","n. gen. Opisthocoelicaudia n. sp. skarzynskii","species","57335","","Opisthocoelicaudia skarzynskii","species","57335","83.6","66","9904"
