"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18981","spm","","480304","0","","MOR 294","holotype","","femur","","1","table","","","n. gen. Orodromeus n. sp. makelai","species","64338","","Orodromeus makelai","species","64338","83.5","70.6","7404"
"18982","spm","","480304","0","","MOR 294","holotype","","tibia","","1","table","","","n. gen. Orodromeus n. sp. makelai","species","64338","","Orodromeus makelai","species","64338","83.5","70.6","7404"
"18983","spm","N","","0","","PU 22412","","","femur","","1","table","","","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","7404"
"18984","spm","N","","0","","PU 22412","","","tibia","","1","table","","","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","7404"
"86578","spm","","480304","0","","PU 22412","paratype","","femur","","1","table","","","n. gen. Orodromeus n. sp. makelai","species","64338","","Orodromeus makelai","species","64338","83.5","70.6","7404"
"86579","spm","","480304","0","","PU 22412","paratype","","tibia","","1","table","","","n. gen. Orodromeus n. sp. makelai","species","64338","","Orodromeus makelai","species","64338","83.5","70.6","7404"
"86580","spm","N","","0","","MOR 968-O-f-1","","","femur","","1","table","","Mid-shaft Diameter","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","31566"
"86581","spm","N","","0","","MOR 407-F-2","","","femur","","1","table","","Mid-shaft Diameter","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","31566"
"86582","spm","N","","0","","MOR 96-9-443","","","femur","","1","table","","Mid-shaft Diameter","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","31566"
"86583","spm","N","","0","","MOR 974-O-T-2","","","tibia","","1","table","","","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","31566"
"86584","spm","N","","0","","MOR 96-9-445-T-2","","","tibia","","1","table","","","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","31566"
"86585","spm","N","","0","","MOR 90-5-BV-HYP","","","tibia","","1","table","","","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","31566"
"86586","spm","N","","0","","MOR 973-T-2","","","tibia","","1","table","","","UNKNOWN","species","64338","obsolete variant of","Orodromeus makelai","species","64338","","","31566"
