"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18817","spm","","467016","0","","ROM no. 768","holotype","","femur","","1","text","","value repeated by Ostrom 1963","n. gen. Parasaurolophus n. sp. walkeri","species","63256","","Parasaurolophus walkeri","species","63256","83.5","70.6","14580"
"18818","spm","","487148","31477","","U.S.N.M. No. 13492","","left","femur","","1","text","","","Parasaurolophus sp.","genus","38766","","Parasaurolophus","genus","38766","83.5","70.6","14580"
"18971","spm","","507858","0","","CNHM P27393","holotype","","humerus","","1","table","","","n. gen. Parasaurolophus n. sp. cyrtocristatus","species","66260","","Parasaurolophus cyrtocristatus","species","66260","83.5","70.6","17145"
"18972","spm","","507858","0","","CNHM P27393","holotype","","radius","","1","table","","","n. gen. Parasaurolophus n. sp. cyrtocristatus","species","66260","","Parasaurolophus cyrtocristatus","species","66260","83.5","70.6","17145"
"18973","spm","","507858","0","","CNHM P27393","holotype","","ulna","","1","table","","","n. gen. Parasaurolophus n. sp. cyrtocristatus","species","66260","","Parasaurolophus cyrtocristatus","species","66260","83.5","70.6","17145"
"18974","spm","","507858","0","","CNHM P27393","holotype","","femur","","1","table","","","n. gen. Parasaurolophus n. sp. cyrtocristatus","species","66260","","Parasaurolophus cyrtocristatus","species","66260","83.5","70.6","17145"
"18975","spm","","507858","0","","CNHM P27393","holotype","","fibula","","1","table","","","n. gen. Parasaurolophus n. sp. cyrtocristatus","species","66260","","Parasaurolophus cyrtocristatus","species","66260","83.5","70.6","17145"
"18976","spm","","467016","0","","ROM no. 768","holotype","","humerus","","1","table","","","n. gen. Parasaurolophus n. sp. walkeri","species","63256","","Parasaurolophus walkeri","species","63256","83.5","70.6","17145"
"18977","spm","","467016","0","","ROM no. 768","holotype","","radius","","1","table","","","n. gen. Parasaurolophus n. sp. walkeri","species","63256","","Parasaurolophus walkeri","species","63256","83.5","70.6","17145"
"18978","spm","","467016","0","","ROM no. 768","holotype","","ulna","","1","table","","","n. gen. Parasaurolophus n. sp. walkeri","species","63256","","Parasaurolophus walkeri","species","63256","83.5","70.6","17145"
