"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"68867","spm","","520881","0","","PIN 614 ","","","scapula","","1","","","","n. gen. Syrmosaurus n. sp. viminocaudus","species","67565","subjective synonym of","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68868","spm","","520881","0","","PIN 614 ","","","coracoid","","1","","","","n. gen. Syrmosaurus n. sp. viminocaudus","species","67565","subjective synonym of","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68869","spm","","520881","0","","PIN 614 ","","","humerus","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Syrmosaurus n. sp. viminocaudus","species","67565","subjective synonym of","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68870","spm","","520881","0","","PIN 614 ","","","radius","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Syrmosaurus n. sp. viminocaudus","species","67565","subjective synonym of","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68871","spm","","520881","0","","PIN 614 ","","","ulna","","1","","","width = maximum anteroposterior width in midshaft","n. gen. Syrmosaurus n. sp. viminocaudus","species","67565","subjective synonym of","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68872","spm","","387375","13386","","ZPAL MgD-II/1 ","","","juvenile skull","","1","","","","Pinacosaurus grangeri","species","52911","","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68873","spm","","387375","13386","","ZPAL MgD-II/1 ","","","juvenile scapula","","1","","","","Pinacosaurus grangeri","species","52911","","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68874","spm","","387375","13386","","ZPAL MgD-II/1 ","","","juvenile coracoid","","1","","","","Pinacosaurus grangeri","species","52911","","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68875","spm","","387375","13386","","ZPAL MgD-II/1 ","","","juvenile humerus","","1","","","width = maximum anteroposterior width in midshaft","Pinacosaurus grangeri","species","52911","","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
"68876","spm","","387375","13386","","ZPAL MgD-II/1 ","","","juvenile radius","","1","","","width = maximum anteroposterior width in midshaft","Pinacosaurus grangeri","species","52911","","Pinacosaurus grangeri","species","52911","83.5","70.6","25056"
