"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"55959","spm","","703448","0","","LHPV1","","","femur","","1","table","","estimated age 9","Psittacosaurus n. sp. lujiatunensis","species","109454","","Psittacosaurus lujiatunensis","species","109454","125.45","122.46","31351"
"55960","spm","","703448","0","","ZMNH M8137","","","femur","","1","table","","estimated age 9","Psittacosaurus n. sp. lujiatunensis","species","109454","","Psittacosaurus lujiatunensis","species","109454","125.45","122.46","31351"
"55961","spm","","703448","0","","LPM R00117","","","femur","","1","table","","estimated age 10","Psittacosaurus n. sp. lujiatunensis","species","109454","","Psittacosaurus lujiatunensis","species","109454","125.45","122.46","31351"
"55962","spm","","703448","0","","ZMNH M8138","","","femur","","1","table","","estimated age 11","Psittacosaurus n. sp. lujiatunensis","species","109454","","Psittacosaurus lujiatunensis","species","109454","125.45","122.46","31351"
"69246","spm","","410874","18579","","PM TGU 16/4-20","holotype","","skull","","1","","","","Psittacosaurus sibiricus","species","89029","","Psittacosaurus sibiricus","species","89029","129.4","113","14369"
"69247","spm","","410874","18579","","PM TGU 16/4-20","holotype","","radius","","1","","","","Psittacosaurus sibiricus","species","89029","","Psittacosaurus sibiricus","species","89029","129.4","113","14369"
"69248","spm","","410874","18579","","PM TGU 16/4-20","holotype","","ulna","","1","","","","Psittacosaurus sibiricus","species","89029","","Psittacosaurus sibiricus","species","89029","129.4","113","14369"
"69249","spm","","410874","18579","","PM TGU 16/4-20","holotype","","femur","","1","","","","Psittacosaurus sibiricus","species","89029","","Psittacosaurus sibiricus","species","89029","129.4","113","14369"
"69250","spm","","410874","18579","","PM TGU 16/4-20","holotype","","scapula","","1","","","width = measured in the distal end","Psittacosaurus sibiricus","species","89029","","Psittacosaurus sibiricus","species","89029","129.4","113","14369"
"69251","spm","","410874","18579","","PM TGU 16/4-20","holotype","","scapula","","1","","","width = measured in the distal end","Psittacosaurus sibiricus","species","89029","","Psittacosaurus sibiricus","species","89029","129.4","113","14369"
"69252","spm","","410874","18579","","PM TGU 16/4-20","holotype","","tibia","","1","","","","Psittacosaurus sibiricus","species","89029","","Psittacosaurus sibiricus","species","89029","129.4","113","14369"
"69253","spm","","703448","0","","ZMNH M8137","","","skull","","1","","","","Psittacosaurus n. sp. lujiatunensis","species","109454","","Psittacosaurus lujiatunensis","species","109454","125.45","122.46","25498"
"69254","spm","","703448","0","","ZMNH M8138","","","skull","","1","","","","Psittacosaurus n. sp. lujiatunensis","species","109454","","Psittacosaurus lujiatunensis","species","109454","125.45","122.46","25498"
"69255","spm","","487452","0","","AMNH6254","","","skull","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69256","spm","","487452","0","","AMNH6254","","","scapula","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69257","spm","","487452","0","","AMNH6254","","","humerus","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69258","spm","","487452","0","","AMNH6254","","","radius","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69259","spm","","487452","0","","AMNH6254","","","ulna","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69260","spm","","487452","0","","AMNH6254","","","femur","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69261","spm","","487452","0","","AMNH6254","","","tibia","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69262","spm","","487452","0","","AMNH6254","","","fibula","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69263","spm","","487452","0","","AMNH6253 ","","","humerus","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69264","spm","","487452","0","","AMNH6253 ","","","femur","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69265","spm","","487452","0","","AMNH6253 ","","","fibula","","1","","","","Psittacosaurus mongoliensis","species","52831","","Psittacosaurus mongoliensis","species","52831","145","100.5","9632"
"69272","spm","","680830","0","","LHPV1","","","skull","","1","","","","Psittacosaurus n. sp. major","species","103803","","Psittacosaurus major","species","103803","130","122.46","24647"
"69273","spm","","680830","0","","LHPV1","","","scapulacoracoid","","1","","","","Psittacosaurus n. sp. major","species","103803","","Psittacosaurus major","species","103803","130","122.46","24647"
"69274","spm","","680830","0","","LHPV1","","","humerus","","1","","","","Psittacosaurus n. sp. major","species","103803","","Psittacosaurus major","species","103803","130","122.46","24647"
"69275","spm","","680830","0","","LHPV1","","","radius","","1","","","","Psittacosaurus n. sp. major","species","103803","","Psittacosaurus major","species","103803","130","122.46","24647"
"69276","spm","","680830","0","","LHPV1","","","femur","","1","","","","Psittacosaurus n. sp. major","species","103803","","Psittacosaurus major","species","103803","130","122.46","24647"
"69277","spm","","680830","0","","LHPV1","","","tibia","","1","","","","Psittacosaurus n. sp. major","species","103803","","Psittacosaurus major","species","103803","130","122.46","24647"
