"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56374","spm","","471836","0","","UA 8656","holotype","left","scapula","","1","table","","","n. gen. Rahona n. sp. ostromi","species","64131","recombined as","Rahonavis ostromi","species","64131","72.1","66","12456"
"56375","spm","","471836","0","","UA 8656","holotype","right","radius","","1","table","","","n. gen. Rahona n. sp. ostromi","species","64131","recombined as","Rahonavis ostromi","species","64131","72.1","66","12456"
"56376","spm","","471836","0","","UA 8656","holotype","right","ulna","","1","table","","","n. gen. Rahona n. sp. ostromi","species","64131","recombined as","Rahonavis ostromi","species","64131","72.1","66","12456"
"56377","spm","","471836","0","","UA 8656","holotype","both","femur","","1","table","","","n. gen. Rahona n. sp. ostromi","species","64131","recombined as","Rahonavis ostromi","species","64131","72.1","66","12456"
"56378","spm","","471836","0","","UA 8656","holotype","both","tibia","","1","table","","","n. gen. Rahona n. sp. ostromi","species","64131","recombined as","Rahonavis ostromi","species","64131","72.1","66","12456"
"80672","spm","","897378","0","","UA 8656","holotype","","scapula","","1","table","","","Rahonavis ? ostromi","species","64133","","Rahonavis ostromi","species","64131","72.1","66","12456"
"80673","spm","","897378","0","","UA 8656","holotype","","radius","","1","table","","","Rahonavis ? ostromi","species","64133","","Rahonavis ostromi","species","64131","72.1","66","12456"
"80674","spm","","897378","0","","UA 8656","holotype","","ulna","","1","table","","","Rahonavis ? ostromi","species","64133","","Rahonavis ostromi","species","64131","72.1","66","12456"
"80675","spm","","897378","0","","UA 8656","holotype","","femur","","1","table","","","Rahonavis ? ostromi","species","64133","","Rahonavis ostromi","species","64131","72.1","66","12456"
"80676","spm","","897378","0","","UA 8656","holotype","","femur","","1","table","","","Rahonavis ? ostromi","species","64133","","Rahonavis ostromi","species","64131","72.1","66","12456"
"80677","spm","","897378","0","","UA 8656","holotype","","tibia","","1","table","","","Rahonavis ? ostromi","species","64133","","Rahonavis ostromi","species","64131","72.1","66","12456"
"80678","spm","","897378","0","","UA 8656","holotype","","tibia","","1","table","","","Rahonavis ? ostromi","species","64133","","Rahonavis ostromi","species","64131","72.1","66","12456"
