"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"86109","spm","","486490","0","","PIUW 2349/1","paratype","right","scapula","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86110","spm","","486490","0","","PIUW 2349/uncataloged","paratype","left","scapula","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86111","spm","","486490","0","","PIUW 2349/uncaraloged","paratype","left","scapula","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86112","spm","","486490","0","","PIUW 2349/18","paratype","left","humerus","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86113","spm","","486490","0","","PIUW 2349/19","paratype","right","humerus","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86114","spm","","486490","0","","PIUW 2349/uncaraloged","paratype","","ulna","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86115","spm","","486490","0","","PIUW 2349/uncaraloged","paratype","","radius","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86116","spm","","486490","0","","PIUW 2349/11","paratype","","radius","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86117","spm","","486490","0","","PIUW 2349/29","paratype","right","femur","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86118","spm","","486490","0","","PIUW 2349/uncaraloged","paratype","left","femur","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86123","spm","","486490","0","","PIUW 2349/31","paratype","right","femur","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86124","spm","","486490","0","","PIUW 2349/32","paratype","left","femur","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86125","spm","","486490","0","","PIUW 2349/30","paratype","left","tibia","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86126","spm","","486490","0","","PIUW 2349/34","paratype","left","tibia","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
"86127","spm","","486490","0","","PIUW 2349/15","paratype","right","fibula","","1","table","","","n. gen. Rhadinosaurus n. sp. alcimus","species","64763","nomen dubium","Ankylosauria","unranked clade","38816","83.5","70.6","17519"
