"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18795","spm","","225582","30574","","USNM 10865","","","scapula","","1","table","","width is least breadth","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","14579"
"18796","spm","","225582","30574","","USNM 10865","","","coracoid","","1","table","","","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","14579"
"18797","spm","","225582","30574","","USNM 10865","","","humerus","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","14579"
"18798","spm","","225582","30574","","USNM 10865","","","ulna","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","14579"
"18799","spm","","225582","30574","","USNM 10865","","","radius","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","14579"
"18800","spm","","225582","30574","","USNM 10865","","","femur","","1","table","","","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","14579"
"18801","spm","","225582","30574","","USNM 10865","","","tibia","","1","table","","","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","14579"
"18802","spm","","225582","30574","","USNM 10865","","","fibula","","1","table","","","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","14579"
"18803","spm","","557969","0","","C.M. No. 84","","","scapula","","1","table","","width is least breadth","Diplodocus n. sp. carnegii","species","65917","","Diplodocus carnegii","species","65917","157.3","145","14579"
"18804","spm","","557969","0","","C.M. No. 84","","","coracoid","","1","table","","","Diplodocus n. sp. carnegii","species","65917","","Diplodocus carnegii","species","65917","157.3","145","14579"
"18805","spm","","557969","0","","C.M. No. 84","","","femur","","1","table","","","Diplodocus n. sp. carnegii","species","65917","","Diplodocus carnegii","species","65917","157.3","145","14579"
"18806","spm","","557969","0","","CM 94","","","femur","","1","table","","","Diplodocus n. sp. carnegii","species","65917","","Diplodocus carnegii","species","65917","157.3","145","14579"
"18807","spm","","150350","0","","CM 94","","","tibia","","1","table","","","Diplodocus carnegii","species","65917","","Diplodocus carnegii","species","65917","157.3","145","14579"
"18808","spm","","150350","0","","CM 94","","","fibula","","1","table","","","Diplodocus carnegii","species","65917","","Diplodocus carnegii","species","65917","157.3","145","14579"
"18819","spm","","219971","0","","Amer. Mus. Coll. No. 594","","right","scapula","","1","table","","","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13070"
"18820","spm","","219971","0","","Amer. Mus. Coll. No. 594","","right","coracoid","","1","table","","","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13070"
"18821","spm","","219971","0","","Amer. Mus. Coll. No. 594","","right","humerus","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13070"
"18822","spm","","219971","0","","Amer. Mus. Coll. No. 594","","right","ulna","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13070"
"18823","spm","","219971","0","","Amer. Mus. Coll. No. 594","","right","radius","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13070"
"18824","spm","","219971","0","","Amer. Mus. Coll. No. 588","","right","radius","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13070"
"18825","spm","","219971","0","","Amer. Mus. Coll. No. 588","","right","ulna","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13070"
"18829","spm","","219971","0","","Amer. Mus. Coll. No. 251","","","femur","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13099"
"18830","spm","","219971","0","","Amer. Mus. Coll. No. 251","","","tibia","","1","table","","least circumference","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13099"
"18831","spm","","219971","0","","Amer. Mus. Coll. No. 251","","","fibula","","1","table","","","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","157.3","145","13099"
"18914","spm","","296465","0","","YPM 1920","holotype","","femur","","1","text","","","n. gen. Diplodocus n. sp. longus","species","52920","","Diplodocus longus","species","52920","157.3","145","7803"
"18915","spm","","296465","0","","YPM 1920","holotype","","tibia","","1","text","","","n. gen. Diplodocus n. sp. longus","species","52920","","Diplodocus longus","species","52920","157.3","145","7803"
"71262","spm","","225582","30574","","USNM 10865","","left","humerus","","1","","","circumf. = minimal shaft","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","19507"
"71263","spm","","225582","30574","","USNM 10865","","left","ulna","","1","","","circumf. = minimal shaft","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","19507"
"71264","spm","","225582","30574","","USNM 10865","","right","humerus","","1","","","circumf. = minimal shaft","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","19507"
"71265","spm","","225582","30574","","USNM 10865","","right","ulna","","1","","","","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","19507"
"71266","spm","","225582","30574","","USNM 10865","","right","radius","","1","","","circumf. = minimal shaft","Diplodocus longus","species","52920","","Diplodocus longus","species","52920","150.8","145","19507"
