"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"18640","spm","N","","0","","","","","femur","","1","table","","unnumbered specimen","UNKNOWN","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18641","spm","N","","0","","","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18642","spm","N","","0","","","","","fibula","","1","table","","unnumbered specimen","UNKNOWN","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18643","spm","N","","0","","","","","femur","","1","table","","unnumbered specimen","UNKNOWN","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18644","spm","N","","0","","","","","tibia","","1","table","","unnumbered specimen","UNKNOWN","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"18645","spm","N","","0","","","","","fibula","","1","table","","unnumbered specimen","UNKNOWN","species","63705","recombined as","Tarbosaurus bataar","species","63705","","","34423"
"78407","spm","N","","0","","PIN 551-3","","","skull","","1","table","","Length of skull from premaxilla to mandibular condyle","UNKNOWN","species","53225","subjective synonym of","Tarbosaurus bataar","species","63705","","","14390"
"78408","spm","N","","0","","PIN 552-1","","","scapula","","1","table","","","UNKNOWN","species","53225","subjective synonym of","Tarbosaurus bataar","species","63705","","","14390"
"78409","spm","N","","0","","PIN 552-1","","","humerus","","1","table","","","UNKNOWN","species","53225","subjective synonym of","Tarbosaurus bataar","species","63705","","","14390"
"78410","spm","N","","0","","PIN 552-1","","","radius","","1","table","","","UNKNOWN","species","53225","subjective synonym of","Tarbosaurus bataar","species","63705","","","14390"
"78411","spm","N","","0","","PIN 552-1","","","ulna","","1","table","","","UNKNOWN","species","53225","subjective synonym of","Tarbosaurus bataar","species","63705","","","14390"
"78412","spm","N","","0","","PIN 552-1","","","femur","","1","table","","","UNKNOWN","species","53225","subjective synonym of","Tarbosaurus bataar","species","63705","","","14390"
"78413","spm","N","","0","","PIN 552-1","","","tibia","","1","table","","","UNKNOWN","species","53225","subjective synonym of","Tarbosaurus bataar","species","63705","","","14390"
"78414","spm","N","","0","","PIN 552-1","","","fibula","","1","table","","","UNKNOWN","species","53225","subjective synonym of","Tarbosaurus bataar","species","63705","","","14390"
