"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"88463","spm","","546026","0","","","holotype","","skull","","1","text","","","n. gen. Shantungosaurus n. sp. giganteus","species","69513","","Shantungosaurus giganteus","species","69513","83.6","72.1","15491"
"88464","spm","N","","0","","CAGS 4355","","left","scapula","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88465","spm","N","","0","","CAGS 4355","","right","scapula","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88466","spm","N","","0","","","","left","scapula","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88467","spm","N","","0","","CAGS 4531","","left","humerus","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88468","spm","N","","0","","CAGS 4531","","right","humerus","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88469","spm","N","","0","","","","left","humerus","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88470","spm","N","","0","","","","right","humerus","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88471","spm","N","","0","","CAGS 4527","","left","ulna","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88472","spm","N","","0","","CAGS 4527","","right","ulna","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88473","spm","N","","0","","","","left","ulna","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88474","spm","N","","0","","","","right","ulna","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88475","spm","N","","0","","","","left","radius","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88476","spm","N","","0","","","","right","radius","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88477","spm","N","","0","","","","left","radius","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88478","spm","N","","0","","CAGS 4317","","left","femur","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88479","spm","N","","0","","CAGS 4317","","right","femur","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88480","spm","N","","0","","","","right","femur","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88481","spm","N","","0","","CAGS 4315","","left","tibia","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88482","spm","N","","0","","CAGS 4315","","right","tibia","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88483","spm","N","","0","","","","left","tibia","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88484","spm","N","","0","","CAGS 4308","","left","fibula","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88485","spm","N","","0","","CAGS 4308","","right","fibula","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
"88486","spm","N","","0","","","","left","fibula","","1","table","","","UNKNOWN","species","69513","obsolete variant of","Shantungosaurus giganteus","species","69513","","","30820"
