"specimen_no","record_type","flags","occurrence_no","reid_no","collection_no","specimen_id","is_type","specimen_side","specimen_part","specimen_sex","n_measured","measurement_source","magnification","comments","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","max_ma","min_ma","reference_no"
"56078","spm","N","","0","","ZDM T5401","","","humerus","","1","table","","","UNKNOWN","species","56457","obsolete variant of","Shunosaurus lii","species","56457","","","17682"
"56079","spm","N","","0","","ZDM T5401","","","radius","","1","table","","","UNKNOWN","species","56457","obsolete variant of","Shunosaurus lii","species","56457","","","17682"
"56080","spm","N","","0","","ZDM T5401","","","ulna","","1","table","","","UNKNOWN","species","56457","obsolete variant of","Shunosaurus lii","species","56457","","","17682"
"56081","spm","N","","0","","ZDM T5401","","","femur","","1","table","","","UNKNOWN","species","56457","obsolete variant of","Shunosaurus lii","species","56457","","","17682"
"56082","spm","N","","0","","ZDM T5401","","","tibia","","1","table","","","UNKNOWN","species","56457","obsolete variant of","Shunosaurus lii","species","56457","","","17682"
"78468","spm","","402864","0","","V9065","holotype","left","ulna","","1","text","","","n. gen. Shunosaurus n. sp. lii","species","56457","","Shunosaurus lii","species","56457","170.3","163.5","17258"
"78469","spm","","402864","0","","V9065","holotype","left","radius","","1","text","","","n. gen. Shunosaurus n. sp. lii","species","56457","","Shunosaurus lii","species","56457","170.3","163.5","17258"
"78470","spm","","402864","0","","V9065","holotype","left","femur","","1","text","","","n. gen. Shunosaurus n. sp. lii","species","56457","","Shunosaurus lii","species","56457","170.3","163.5","17258"
"78471","spm","","402864","0","","V9065","holotype","left","tibia","","1","text","","","n. gen. Shunosaurus n. sp. lii","species","56457","","Shunosaurus lii","species","56457","170.3","163.5","17258"
"78472","spm","","402864","0","","V9065","holotype","left","fibula","","1","text","","","n. gen. Shunosaurus n. sp. lii","species","56457","","Shunosaurus lii","species","56457","170.3","163.5","17258"
